location,event,date,artist,coordinates
Lucerne,BLUE BALLS,2013-07-19,LUCY ROSE,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-19,ZAZ,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-19,DAVID CELIA,"(47.05016819999999, 8.3093072)"
Geneve,FETES DE GENEVE,2013-07-19,VOXSET,"(46.2043907, 6.1431577)"
Zurich,LIVE AT SUNSET,2013-07-19,STING,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,LiA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,NGOC LAN,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,DEEP PURPLE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,KAT EDMONSON,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,SOLOMUN,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,BACK N BLACK,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,DANIEL DB,"(46.4312213, 6.9106799)"
Geneve,MUSIQUES EN ETE,2013-07-19,DARAN,"(46.2043907, 6.1431577)"
Verbier,VERBIER FESTIVAL,2013-07-19,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-19,MISCHA MAISKY,"(46.0960814, 7.2285512)"
