location,event,date,artist,coordinates
Lucerne,BLUE BALLS,2013-07-21,ROZBUB,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-21,PETE DOHERTY,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-21,DAVID CELIA,"(47.05016819999999, 8.3093072)"
Geneve,FETES DE GENEVE,2013-07-21,DJ RAPHY,"(46.2043907, 6.1431577)"
Zurich,LIVE AT SUNSET,2013-07-21,GIANNA NANNINI,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-21,MARCUS MILLER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-21,PHILIPP FANKHAUSER,"(46.4312213, 6.9106799)"
Verbier,VERBIER FESTIVAL,2013-07-21,YEVGENY SUBDIN,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-21,JULIEN QUENTIN,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-21,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-21,BARBARA HENDRICKS,"(46.0960814, 7.2285512)"
