location,event,date,artist,coordinates
Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2009-05-01,DAVID PAVLOVITS,"(46.5196535, 6.6322734)"
Bale (Basel),JAZZFESTIVAL BASEL,2009-05-01,PHILIP CATHERINE,"(47.5595986, 7.5885761)"
