location,event,date,artist,coordinates
Bern,GURTEN FESTIVAL BERN,2016-07-14,MUSE,"(46.9479739, 7.4474468)"
Fribourg,LES GEORGES,2016-07-14,EGOPUSHER,"(46.8064773, 7.161971899999999)"
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-14,MARCUS MILLER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-14,CURTIS STIGERS,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-14,FLOATING POINTS,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2016-07-14,EARTH WIND & FIRE,"(46.16699879999999, 8.7942643)"
Munchenstein,SUMMERSTAGE BASEL,2016-07-14,MALKY,"(47.5226485, 7.6150661)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2016-07-14,RICHARD GALLIANO,"(46.8496401, 6.845060800000001)"
