location,event,date,artist,coordinates
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2011-08-28,THE CREOLE CHOIR OF CUBA,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2011-08-28,SAMIR HODZIC,"(45.923697, 6.869433)"
Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2011-08-28,VLAD MAISTOROVICI,"(46.4829113, 6.458343500000001)"
