location,event,date,artist,coordinates
Duedingen,BAD BONN KILBI,2012-07-11,BONNIE PRINCE BILLY,"(46.8464198, 7.191017899999999)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,LES SOEURS GOUDRON,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,ENSEMBLE VOCAL DE LAUSANNE,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,IETO,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,LES PETITS CHANTEURS A LA GUEULE DE BOIS,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,FINK,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,THE CYBORGS,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,MOHAMED NOUAR,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,CHAPELIER FOU,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,ELEKTRO GUZZI,"(46.5196535, 6.6322734)"
Zurich,LIVE AT SUNSET,2012-07-11,BB KING,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-11,HERBIE HANCOCK,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-11,TONY BENNETT,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2012-07-11,LENNY KRAVITZ,"(46.16699879999999, 8.7942643)"
Geneve,MUSIQUES EN ETE,2012-07-11,EL GUSTO,"(46.2043907, 6.1431577)"
