location,event,date,artist,coordinates
Zurich,LIVE AT SUNSET,2014-07-13,TEXAS,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,OPE SMITH,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,PALOMA FAITH,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,MULATU ASTATKE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,NICK MURPHY (CHET FAKER),"(46.4312213, 6.9106799)"
Veytaux,MONTREUX JAZZ FESTIVAL,2014-07-13,LEO TARDIN,"(46.42071019999999, 6.9286409)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,DARK HORSES,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,GREEN VELVET,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,ANDROMA,"(46.4312213, 6.9106799)"
Sierre,SIERRE BLUES FESTIVAL,2014-07-13,BASTIAN BAKER,"(46.29413110000001, 7.533536199999999)"
