location,event,date,artist,coordinates
Thun,AM SCHLUSS,2012-07-25,BOO BOO DAVIS BAND,"(46.7579868, 7.6279881)"
Lucerne,BLUE BALLS,2012-07-25,REA GARVEY,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2012-07-25,KAISER CHIEFS,"(47.05016819999999, 8.3093072)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-25,PIERS FACCINI,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-25,FRANK MC COMB,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-25,MALCOLM BRAFF,"(45.923697, 6.869433)"
Geneve,FETES DE GENEVE,2012-07-25,SHANA P,"(46.2043907, 6.1431577)"
Geneve,MUSIQUES EN ETE,2012-07-25,GRAND PIANORAMAX,"(46.2043907, 6.1431577)"
Verbier,VERBIER FESTIVAL,2012-07-25,KATE ROYAL,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-25,DANIEL HOPE,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-25,ANOUSHKA SHANKAR,"(46.0960814, 7.2285512)"
