location,event,date,artist,coordinates
Winterthur,AFRO - PFINGSTEN,2011-06-10,JULIAN MARLEY,"(47.4988196, 8.723688899999999)"
La Chaux du Milieu,CORBAK,2011-06-10,MANU GALURE,"(47.0131911, 6.703647699999999)"
Pully,FESTIVAL'ENTRE2,2011-06-10,YANN LAMBIEL,"(46.5092681, 6.6654949)"
Montreux,MOTION OPENAIR,2011-06-10,HEADHUNTERZ,"(46.4312213, 6.9106799)"
