location,event,date,artist,coordinates
Chenes Bougeries,BIMBADABOUM FESTIVAL,2014-08-14,SONIA GRIMM,"(46.1983939, 6.1851258)"
Avenches,ROCK OZ ARENES,2014-08-14,ASAF AVIDAN,"(46.8806009, 7.0427075)"
