location,event,date,artist,coordinates
Lucerne,BLUE BALLS,2013-07-27,KING PEPE,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-27,DAMIEN RICE,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-27,J VIEWZ,"(47.05016819999999, 8.3093072)"
Geneve,FETES DE GENEVE,2013-07-27,INCRY,"(46.2043907, 6.1431577)"
Gunzgen,MOTION OPENAIR,2013-07-27,TIESTO,"(47.3134764, 7.843830499999999)"
Lumnezia,OPEN AIR LUMNEZIA,2013-07-27,WOODKID,"(46.71766, 9.17366)"
Etziken,OPENAIR ETZIKEN,2013-07-27,PATENT OCHSNER,"(47.1876571, 7.6484107)"
Nyon,PALEO FESTIVAL,2013-07-27,BLUR,"(46.3832683, 6.2347852)"
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-27,VINCENT LUCAS,"(46.2105553, 6.2317139)"
Verbier,VERBIER FESTIVAL,2013-07-27,YURI BASHMET,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-27,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-27,PINCHAS ZUKERMAN,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-27,ILYA GRINGOLTS,"(46.0960814, 7.2285512)"
