location,event,date,artist,coordinates
Geneve,FESTIVAL DE LA BATIE,2009-09-04,COSILI,"(46.2043907, 6.1431577)"
Geneve,FESTIVAL DE LA BATIE,2009-09-04,FRANZ TREICHLER,"(46.2043907, 6.1431577)"
Carouge,FESTIVAL DE LA BATIE,2009-09-04,BONGA,"(46.1829674, 6.1378539)"
Vevey,SEPTEMBRE MUSICAL,2009-09-04,CELLOTANGO,"(46.4628333, 6.8419192)"
