location,event,date,artist,coordinates
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2015-07-11,PETITE NOIR,"(46.5196535, 6.6322734)"
Zurich,LIVE AT SUNSET,2015-07-11,ROXETTE,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-11,LIONEL RICHIE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-11,KRONOS QUARTET,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-11,PROTOJE,"(46.4312213, 6.9106799)"
Veytaux,MONTREUX JAZZ FESTIVAL,2015-07-11,POLAR,"(46.42071019999999, 6.9286409)"
Frauenfeld,OPENAIR FRAUENFELD,2015-07-11,FLATBUSH ZOMBIES,"(47.5535997, 8.8987541)"
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-11,ONDA VAGA,"(46.1049798, 7.075533399999999)"
Sierre,SIERRE BLUES FESTIVAL,2015-07-11,LATVIAN BLUES BAND,"(46.29413110000001, 7.533536199999999)"
Munchenstein,SUMMERSTAGE BASEL,2015-07-11,PATENT OCHSNER,"(47.5226485, 7.6150661)"
