location,event,date,artist,coordinates
Geneve,FETES DE GENEVE,2014-07-19,ALDEBERT : ENFANTILLAGES,"(46.2043907, 6.1431577)"
Fribourg,LES GEORGES,2014-07-19,LAURE PERRET,"(46.8064773, 7.161971899999999)"
Zurich,LIVE AT SUNSET,2014-07-19,PHILIPP FANKHAUSER,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,VILLARS VANGUARD  JAZZ ORCHESTRA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,AS ANIMALS,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,HARRI STOJKA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,MIGHTY OAKS,"(46.4312213, 6.9106799)"
Vevey,MONTREUX JAZZ FESTIVAL,2014-07-19,YARON HERMAN,"(46.4628333, 6.8419192)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,THE TRAP,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,RARE MOVEMENT,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,LOS SCRATCHOS,"(46.4312213, 6.9106799)"
Verbier,VERBIER FESTIVAL,2014-07-19,ARABELLA STEINBACHER,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2014-07-19,THOMAS ALLEN,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2014-07-19,STEPHEN KOVACEVITCH,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2014-07-19,ANNE SOFIE VON OTTER,"(46.0960814, 7.2285512)"
