location,event,date,artist,coordinates
Geneve,JAZZCONTREBAND,2008-10-17,HOPE PROJECT,"(46.2043907, 6.1431577)"
Carouge,JAZZCONTREBAND,2008-10-17,GIGI CIFARELLI,"(46.1829674, 6.1378539)"
Bulle,TRANSVOISINES,2008-10-17,DOCTOR FLAKE,"(46.6154512, 7.057726799999999)"
