festival,location,date,artist
CHANSONS EN STOK,Zurich,2015-Sep.-15,THIERRY ROMANENS
CHANSONS EN STOK,Zurich,2015-Sep.-16,BOULE
CHANSONS EN STOK,Zurich,2015-Sep.-17,BERTRAND LOUIS
CHANSONS EN STOK,Zurich,2015-Sep.-18,JOHNNY MONTREUIL
CHANSONS EN STOK,Zurich,2015-Sep.-19,SUISSA (DAVID)
CHANSONS EN STOK,Zurich,2015-Sep.-20,KENT
CHANSONS EN STOK,Zurich,2014-Sep.-16,KLO PELGAG
CHANSONS EN STOK,Zurich,2014-Sep.-17,CHARLOTTE PARFOIS / PEUT-ETRE
CHANSONS EN STOK,Zurich,2014-Sep.-18,WLADIMIR ANSELME
CHANSONS EN STOK,Zurich,2014-Sep.-19,YOANNA
CHANSONS EN STOK,Zurich,2014-Sep.-20,BENOIT PARADIS
CHANSONS EN STOK,Zurich,2014-Sep.-21,ET COMMENT VOUS FAITES CHEZ VOUS ? (Ignatus et les Fr̬res Makouaya)
CHANSONS EN STOK,Zurich,2014-Sep.-21,TEN STRINGS AND A GOAT SKIN
CHANSONS EN STOK,Zurich,2012-Sep.-18,TITI ZARO
CHANSONS EN STOK,Zurich,2012-Sep.-19,NEVCHE (FREDERIC NEVCHEHIRLIAN)
CHANSONS EN STOK,Zurich,2012-Sep.-20,PIERRE LAUTOMNE
CHANSONS EN STOK,Zurich,2012-Sep.-21,LES CHERCHEURS D'OR
CHANSONS EN STOK,Zurich,2012-Sep.-21,JULIE AUBE
CHANSONS EN STOK,Zurich,2012-Sep.-22,GINKGOA
CHANSONS EN STOK,Zurich,2012-Sep.-23,MORAN
CHANSONS EN STOK,Zurich,2011-Juil.-25,ZEP / ZONE D'EXPRESSION POPULAIRE
CHANSONS EN STOK,Zurich,2011-Sep.-21,JULIE ET MOI
CHANSONS EN STOK,Zurich,2011-Sep.-22,PASCAL RINALDI
CHANSONS EN STOK,Zurich,2011-Sep.-23,PIGOR
CHANSONS EN STOK,Zurich,2011-Sep.-24,LIZZIE
CHANSONS EN STOK,Zurich,2011-Sep.-26,IAROSS
CHANSONS EN STOK,Zurich,2010-Sep.-21,YETI
CHANSONS EN STOK,Zurich,2010-Sep.-22,THIBAUT DERIEN
CHANSONS EN STOK,Zurich,2010-Sep.-23,ZEDRUS
CHANSONS EN STOK,Zurich,2010-Sep.-24,HK & LES SALTIMBANKS (MAP)
CHANSONS EN STOK,Zurich,2010-Sep.-25,COUP D'MARRON
CHANSONS EN STOK,Zurich,2010-Sep.-26,JOSEPH EDGAR
CHANSONS EN STOK,Zurich,2009-Sep.-15,PIERRE LAUTOMNE
CHANSONS EN STOK,Zurich,2009-Sep.-16,DAVID LAFORE
CHANSONS EN STOK,Zurich,2009-Sep.-17,KARIMOUCHE
CHANSONS EN STOK,Zurich,2009-Sep.-18,YVES JAMAIT
CHANSONS EN STOK,Zurich,2009-Sep.-19,IGNATUS
CHANSONS EN STOK,Zurich,2009-Sep.-20,POLO
CHANSONS EN STOK,Zurich,2008-Sep.-09,FABIAN THARIN
CHANSONS EN STOK,Zurich,2008-Sep.-10,GERALD GENTY
CHANSONS EN STOK,Zurich,2008-Sep.-11,CHARLOTTE ETC
CHANSONS EN STOK,Zurich,2008-Sep.-12,YETI
CHANSONS EN STOK,Zurich,2008-Sep.-13,FLORENT VINTRIGNER
CHANSONS EN STOK,Zurich,2008-Sep.-14,MARCEL KANCHE
CHANSONS EN STOK,Zurich,2007-Sep.-11,THIERRY ROMANENS
CHANSONS EN STOK,Zurich,2007-Sep.-12,MICHEL BUHLER
CHANSONS EN STOK,Zurich,2007-Sep.-13,CLOE DU TREFLE
CHANSONS EN STOK,Zurich,2007-Sep.-14,IGNATUS
CHANSONS EN STOK,Zurich,2007-Sep.-15,JONAS ET LE TAXI BROUSSE ORCHESTRA
CHANSONS EN STOK,Zurich,2007-Sep.-16,JEHAN
