	['son']
Daniel Buess	['experimental', 'classical', 'noise']
Daniel Fueter	None
Daniel Haefliger	None
Daniel Hope	None
Daniel Kahn & The Painted Bird meet the Brothers Nazaroff	None
Daniel Moos	None
Daniel Röhn	None
Daniel Studer	None
Daniel Weber	None
Daniel Zisman	None
Daniil Trifonov	['classical']
Danilo Boggini	None
Danilo Moccia	None
Danja Schwegler	None
Danny Reichlin	None
Daria Zappa	None
Dark Cloud	['electronic', 'metal', 'world', 'son']
Dave Blaser	None
Dave Doran	None
Dave Eichenberger	None
Dave Feusi	None
Dave Gisler	None
Dave Ruosch	None
David Beglinger	None
David Bokel	None
David Frühwirth	None
David Helbock	None
David Reitz	None
David Schwarz	None
David Zopfi	None
Davie Gisler	None
Debauchery	['metal', 'rock']
Dejan Terzic	None
Delinquent Habits	['rap', 'hardcore']
Delirio	None
Denis Beuret	None
Denison Witmer	['rock', 'lounge', 'folk', 'americana', 'house']
Derek Clark	['house']
Deu Choro	['choro']
Diana Petrova	None
Die Blockflöte des Todes	None
Dieter Häner	None
Dieter Ulrich	None
Diskomurder	None
Django Bates	['house', 'classical']
Domenic Landolf	None
Domenico Tagliente	None
Dominic Egli	None
Dominik Blum	None
Dominik Eberle	None
Dominik Rüegg	None
Dominik Wörner	['baroque', 'opera']
Dominique Dieth	None
Donat Fisch	None
Donny McCaslin	['house']
Donny McCaslin Group	None
Donzela guerreira	None
Doran-Kaenzig-Hemingway	None
Doran-Känzig-Hemingway	None
Dorit Chrysler	['electronic', 'electro']
Dota	['electronic', 'world', 'asian']
Doug Hammond	['funk']
Drizella	None
Dropkick Murphys	['rock', 'hardcore', 'chanson', 'celtic', 'folk', 'blues', 'punk', 'classic', 'house', 'son']
Duan Aiai	None
E. Rütsche	None
E. Streiff	None
Eastern Standard Time	None
Eckart Heiligers	None
Eckhard Stromer	None
Edgar Marc Petter	None
Edmauro de Oira	None
Edmund Worsfold Vida	None
Eduardo Egüez	['tango', 'latin']
Efterklang	['rock']
Egidius Streiff	None
Einat & Hakim	None
Einat Betzalel	None
Electric Hellessence	None
Elena Tomilova	None
Eleni Mandell & Sylvie Lewis	None
Eliane Cueni	None
Elina Duni	['synthpop']
Elisabeth Berner	None
Elisabeth Flechl	None
Elisabeth Meyer	None
Elliott Levin	None
Elysa Kay	None
Emanuel Ax	['jungle', 'classical']
Emanuel Rütsche	None
Emanuel Schnyder	None
Emanuele Forni	None
Emiliano Arboleda	None
Emily Wells	['rock']
Emmanuel Harold	None
Emmanuel Pahud	['world', 'baroque', 'experimental', 'orchestral', 'classical']
End of Silence	['rock', 'metal']
Ensemble Sortisatio	['classical']
Enter Shikari	['metal', 'rock', 'dubstep', 'hardcore', 'electronicore', 'industrial', 'electro', 'screamo', 'noise', 'punk', 'house', 'son']
Erich Tiefenthaler	None
Erika Achermann	None
Erikson Cabrera	None
Ernst Grädel	None
Ernst Waespe	None
Erwin Pfeifer	None
Erwin Schrott	['opera', 'house']
Estelle Costanzo	None
Esther Pitschen	None
Eszter Major	None
Eths	['metal', 'deathcore', 'metalcore']
Etienne Abelin	None
Etienne Marti	None
Eva Boesch	None
Eva Kesselring	None
Evgeni Koroliov	['classical']
Evgeniya Kossmann	None
Ewa Kupiec	['classical']
Fabian Anderhub	None
Fabian Baur	None
Fabian Bürgi	None
Fabian Eberle	None
Fabian Gutscher	None
Fabian Keist	None
Fabian M. Mueller	None
Fabienne Ambühl	None
Fabienne Hoerni	None
Fabio Pinto	['world']
Felix Brühwiler	None
Felix Gubser	None
Felix Haller	None
Felix-Andreas Genner	None
Ferdinand Povel	None
Fere Scheidegger	None
Feres Hot Strings	None
