	['son']
The Joy Formidable	['rock', 'grunge', 'pop', 'noise']
The Luck	None
The Pearlbreakers	None
The Sawyer Family	['classic', 'house']
The Script	['rock', 'world', 'rap', 'pop']
The Setadytones	None
The Vibrators	['rock', 'punk', 'pop']
Theodoros Kapilidis	None
Thomas Bauser	None
Thomas Blumenthal	None
Thomas Bosshard	None
Thomas Castaneda	None
Thomas Dürst	None
Thomas García	None
Thomas Grüninger	None
Thomas Hampson	['poetry', 'world', 'opera', 'classical', 'house']
Thomas Hirt	None
Thomas Kull	None
Thomas Lähns	None
Thomas Lüthi	['world']
Thomas Moeckel	None
Thomas Scheytt	None
Thomas Winkler	['metal', 'neoclassical', 'rock']
Till Grünewald	None
Tillmann Reinbeck	None
Tilmann Zahn	None
Tim Lefebvre	['rock', 'funk', 'electronica', 'electronic']
Tobias Frankenreiter	None
Tobias Hoffmann	None
Tobias Hunziker	None
Tobias Meier	None
Tobias Schmid	None
Tom Bodenmann	None
Tom Linder	None
Tom Mäder	None
Tomi Kuusisto	None
Tomi Schwarzenbach	None
Tommy Baldu	None
Tomoko Iwasa	None
Toni Donadio	None
Tonico da Silva	None
Tonio Morin-Vargas	None
Tony Renold	None
Torsten Laux	None
Touchy Mob	None
Trey Songz	['rap']
Tweak Bird	None
U Brown	['reggae']
Ueli Heiniger	None
Ull Möck	None
Ulrich S. Eggimann	None
Uristier	None
Urs Bolle Rellstab	None
Urs Bollhalder	None
Urs C. Eigenmann	None
Urs Leimgruber	['classical']
Urs Rellstab	None
Urs Wäckerli	None
Ursula Füri-Bernhard	None
Ursula Sarnthein	None
Ursula Toscheff	None
Uwe Schönbeck	None
Vader	['metal']
Valentin Dietrich	None
Vera Cathrein	None
Vera Fischer	None
Vera Kappeler	None
Verena Barbara Gohl	None
Verena Pavoni	None
Veronika Hagen	['classical']
Viktoria Mullova	['classical']
Vinz Vonlanthen	None
Vital Julian Frey	['son']
Vital-Julian Frey	None
Vito Cadonau	None
Vitti Müller	None
Vivid Curls	None
Vlad Weverbergh	None
Volker Engelberth	None
Wallis Bird	['folk', 'rockabilly']
Walter Kaiser	None
Walter Klingner	None
Wankelmut	['jungle', 'house', 'electronica']
We Set the Sun	None
Wege Wüthrich	None
Wei-Zhong Lu	None
Wen Hui Tsai	None
Wen Lu-Hu	None
Wiktor Kociuban	None
Willi Zimmermann	None
Willy Surbeck	None
Wini Holzenkamp	None
Wishbone Ash	['rock', 'blues']
Wolfgang Zumpe	None
Wolfram Rieger	None
Xavier Alig	None
Yann Rouiller	None
Yannick Schmutz	None
Yeol Eum Son	['asian', 'classical', 'son']
Yesterday Shop	None
Yevgeny Sudbin	['classical']
Yi-Chen Lin	None
Yosuke Sate	None
Yosvany Quintero	None
Youssouf Diabate	None
Yukiko Ishibashi	None
Yuta Takase	None
Yves Marguet	None
Yves Reichmuth	None
Yvonne Moore	None
Yvonne Ritter	None
Zhou Tao	None
works by Herbert Willi	None
Àgnes Vass	None
