Av. de Tivoli 3, 1700, Fribourg	(46.8046115, 7.152469699999999)
Av. de Tivoli 3, Fribourg, 1700, CH	(46.8046115, 7.152469699999999)
Avegno	(46.2028357, 8.7481907)
Avenches	(46.8806009, 7.0427075)
Avenue Bergières 10, 1004 Lausanne	(46.5294322, 6.622895)
Avenue Claude-Nobs 2 Montreux	(46.4386119, 6.9067994)
Avenue E.-Jaques Dalcroze 9, 1007, Lausanne	(46.5118279, 6.6093473)
Avenue de Frontenex 3, 1207 Genève	(46.2019907, 6.1568103)
Avenue de Gilamont 60, 1800, Vevey	(46.4720036, 6.852230199999999)
Avenue de la Gare 28, 1950, Sion	(46.2307476, 7.3582404)
Avenue de la Gare 28, Sion	(46.2307476, 7.3582404)
Avenue de la Gare 32, 1003 Lausanne	(46.5173333, 6.6323813)
Avenue de la Jonction 19, 1205 Genève	(46.20141659999999, 6.125662200000001)
Avenue de la Jonction 5, 1205 Genève	(46.2013833, 6.1296103)
Avenue des Alpes 45, 1820 Montreux	(46.43586879999999, 6.909799199999999)
Avenue du Général-Guisan 30, 1800, Vevey	(46.4648862, 6.8394492)
Avully	(46.1696093, 6.0013782)
B?lach	(47.3815943, 8.532629)
Baar	(47.1953729, 8.526087)
Bachmannweg 16, 8046 Zürich	(47.421099, 8.507384)
Bachstrasse 7, 8038, Zürich	(47.34504039999999, 8.535839100000002)
Bad Ragaz	(47.0034141, 9.501106199999999)
Bad-Bonn	(46.8615737, 7.180177800000001)
Bad-Ragaz	(47.0034141, 9.501106199999999)
Baden	(47.47288, 8.30809)
Badenerstrasse 109, 8004 Zürich	(47.3741278, 8.524615899999999)
Badenerstrasse 138, 8004 Zürich	(47.37448879999999, 8.5228241)
Badenerstrasse 696, 8048 Zürich	(47.38864969999999, 8.483854)
Bagnes	(46.07173, 7.22404)
Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich	(47.3649908, 8.530651599999999)
Bahnhofplatz 1, 3900, Brig	(46.3192859, 7.987998899999999)
Bahnhofstrasse 1, 8712 Stäfa	(47.2394885, 8.718781)
Bahnhofstrasse 15, 9000, St.Gallen	(47.4250501, 9.3720789)
Bahnhofstrasse 22, 6300 Zug	(47.1695931, 8.516024)
Bahnhofstrasse 3, 3860 Meiringen	(46.72828430000001, 8.1855157)
Bahnhofstrasse 30, 6300, Zug	(47.1700658, 8.516124999999999)
Bahnhofstrasse 39, 5400 Baden	(47.47815749999999, 8.3086556)
Bale (Basel)	(47.5595986, 7.5885761)
Balgach	(47.40677669999999, 9.6059622)
Ballwil	(47.1528227, 8.3172322)
Balsthal	(47.3095856, 7.6883283)
Bar	(47.0418704, 8.3109567)
Bar-3000	(47.3781207, 8.527472099999999)
Bar-Rossi	(47.3794699, 8.5271978)
Bar-Tantpis	(47.381979, 8.533261999999999)
Barfussbar	(47.3682855, 8.5422067)
Baronessa	(47.3931791, 8.177863)
Basel	(47.5595986, 7.5885761)
Baselstrasse 24, 6003 Luzern	(47.0528486, 8.296143899999999)
Baselstrasse 46, 6003 Luzern	(47.0534712, 8.2946797)
Baselstrasse 61, 6000, Luzern, Schweiz	(47.0532711, 8.2925574)
Basler Str. 45, 79576 Weil am Rhein	(47.58553999999999, 7.605691599999999)
Baslerstrasse 50, 8048, Zürich	(47.3863565, 8.4987686)
Bassersdorf	(47.4434608, 8.6287132)
Bateau Genève, Quai Gustave-Ador, 1207, Geneva	(46.204873, 6.154267000000001)
Bauen	(46.9348014, 8.5797914)
Baumgartenstrasse 19, 8200 Schaffhausen	(47.6944785, 8.6362414)
Baumgartenstrasse 19, 8200, Schaffhausen	(47.6944785, 8.6362414)
Bazenheid	(47.4126975, 9.0685947)
Bazillus	(47.5474877, 7.5472691)
BeJazz-Club-(Vidmarhallen)	(46.93497929999999, 7.4174636)
Beckenried	(46.9704961, 8.4657007)
Beethovenstrasse 8, 8002, Zürich	(47.3657283, 8.5372998)
Belforterstrasse 135, 4055 Basel	(47.56346800000001, 7.5580646)
Bellerivestrasse, 8008 Zürich	(47.3530306, 8.5567535)
Bellevuepl. 5, 8001 Zürich	(47.3676756, 8.5446046)
Bellinzona	(46.1946216, 9.0244124)
Belpstrasse 24, 3122, Kehrsatz	(46.9075137, 7.474518199999999)
Bendicht-Rechberger-Strasse 1, 2502 Biel	(47.1342781, 7.243087399999999)
