	[]
David Murray Infinity Quartet feat. Saul Williams	[]
David Sanborn & Bob James Group feat. Steve Gadd	[]
DavidGuetta	[]
Deafkid	['vapor pop']
Dean Blunt	['escape room', 'fluxwork', 'freak folk', 'indie r&b', 'outsider house', 'vaporwave']
Deba	[]
Deez Nuts	['hardcore', 'metalcore']
Defeater	['alternative emo', 'anthem emo', 'chaotic hardcore', 'melodic hardcore', 'metalcore', 'pop punk', 'progressive post-hardcore', 'screamo']
Dejan Terzic	[]
Diadji Seydi	[]
Diego Baroni	[]
Dieter Hubov	[]
Dieter Ilg	[]
Dieter Thomas Kuhn & Band	[]
Dillon	['bass trap', 'big room', 'brostep', 'deep big room', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton', 'tropical house']
Dimitri Ashkenazy	[]
Dirk Börner	[]
Djam Rekk Sound DJ-Kollektiv	[]
Domenic Landolf	[]
Dominic Hauser	[]
Dominic Landolt	[]
Dominik Grossenbacher	[]
Dominik Schürmann	[]
Dominique Girod	[]
Donat Fisch	[]
Doodlebug	['bass trip']
Dorotop DJ Set	[]
Dream Theater	['album rock', 'alternative metal', 'hard rock', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'progressive rock', 'rock']
Drum'n'bass	[]
Dubioza Kolektiv	['yugoslav rock']
Dylan Perron et Élixir de Gumbo	[]
Edicson Ruiz	[]
Edmauro de Oira	[]
Edmundo Carneiro	[]
Eduardo Machado	[]
Eduardo Machado Trio	[]
Edward Rushton	[]
Egyptian Hip Hop	['deep gothic post-punk']
Eiko Furusawa	[]
Einar Stray Orchestra	['norwegian indie', 'norwegian pop']
Elena González	[]
Elias Bernet	[]
Elisabeth Göring	[]
Elisabeth Waldmeier	[]
Elmar Frey	[]
Elyas Khan	[]
Emanuel Heitz	[]
Emanuel Küenzi	[]
Emanuel Künzi	[]
Emanuel Rütsche	[]
Emanuel Schmelzer	[]
Emanuele Jannibelli	[]
Endo Anaconda	[]
Eric Alexander	['contemporary post-bop', 'hard bop']
Erich Bieri	[]
Erich Fischer	[]
Erich Möschler	[]
Eriko Wakita	[]
Ernst Buscagne	[]
Erwin Bieri	[]
Esteban "Chamito" Reyes	[]
Esther Hoppe	[]
Esther Nydegger	[]
Eva Boesch	[]
Eveleen Olsen	[]
Ewa Grzywna-Groblewska	[]
Fabian Gisler	[]
Fabian Gubser	[]
Fabian Heynen	[]
Fabian Kristmann	[]
Fabio Di Càsola	[]
Family Atlantica	[]
Family of the Year	['folk christmas', 'folk-pop', 'indie christmas', 'indie folk', 'indie pop', 'shimmer pop', 'stomp and holler']
Feadz	['destroy techno', 'filter house']
Felix Gubser	[]
Felix Klaus	[]
Felix Kübler	[]
Felix Renggli	[]
Felix-Andreas Genner	[]
Fernando Rast	[]
Filip Micha Saffray	[]
Flavio Mezzodi	[]
Flo Dauner	[]
Flo Reichle	[]
Florian Favre	[]
Florian Hoesl	[]
Florian Krause	[]
Florian Läuchli	[]
Florian Walser	[]
Flurin Cuonz	[]
Fran Lorkovic	[]
