,location,event,date,artists,genre,coordinates
1184,Lausanne,JAZZ ONZE +,2013-11-03,[STRATUS SUR LE PLATEAU],,"(46.5196535, 6.6322734)"
1185,Lausanne,METROPOP FESTIVAL,2013-11-07,[PAROV STELAR],,"(46.5196535, 6.6322734)"
1186,Pratteln,ROCK POWER FESTIVAL,2013-11-08,[BONFIRE],,"(47.5183198, 7.6919889)"
1187,Lausanne,METROPOP FESTIVAL,2013-11-09,[GAETAN ROUSSEL],,"(46.5196535, 6.6322734)"
1188,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-13,[ORCHESTRE DES JEUNES DU CONSERVATOIRE DE LAUSANNE],,"(46.5196535, 6.6322734)"
1189,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-15,[ORCHESTRE CAPPELLA DE TURCHINI],,"(46.5196535, 6.6322734)"
1190,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-17,[WIELAND KUIJKEN],,"(46.5196535, 6.6322734)"
1191,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-20,[XASAX],,"(46.5196535, 6.6322734)"
1192,Bern,FESTIVAL SAINT GHETTO,2013-11-21,[LAIBACH],,"(46.9479739, 7.4474468)"
1193,Bern,FESTIVAL SAINT GHETTO,2013-11-22,[OM],,"(46.9479739, 7.4474468)"
1194,Bern,FESTIVAL SAINT GHETTO,2013-11-23,[UZ JSME DOMA],,"(46.9479739, 7.4474468)"
1195,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-27,[ETUDIANTS DE L'HEMU],,"(46.5196535, 6.6322734)"
1196,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2013-12-06,[ANTIPODS],,"(46.2382, 6.8519)"
1197,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2013-12-07,"[BISCUIT, GALA]",,"(46.2382, 6.8519)"
1198,Soleure,INSANE FESTIVAL,2014-01-25,[FUKKK OFFF],,"(47.2088348, 7.532291)"
1199,Le Lignon,ANTIGEL,2014-02-01,[TEMPLES],,"(46.203703, 6.0961889)"
1200,Carouge,ANTIGEL,2014-02-02,[DORIAN WOOD],,"(46.1829674, 6.1378539)"
1201,Geneve,ANTIGEL,2014-02-03,[PHILIP GLASS],,"(46.2043907, 6.1431577)"
1202,Geneve,ANTIGEL,2014-02-04,[SERGE TEYSSOT GAY],,"(46.2043907, 6.1431577)"
1203,Plan les Ouates,ANTIGEL,2014-02-05,[JOHN THE CONQUEROR],,"(46.1668075, 6.1145793)"
1204,Geneve,ANTIGEL,2014-02-06,[AGNES OBEL],,"(46.2043907, 6.1431577)"
1205,Le Lignon,ANTIGEL,2014-02-07,[JAY JAY JOHANSON],,"(46.203703, 6.0961889)"
1206,Genthod,ANTIGEL,2014-02-08,[ADAM GREEN],,"(46.2644048, 6.1546616)"
1207,Collonge Bellerive,ANTIGEL,2014-02-09,[WILLIAM FITZSIMMONS],,"(46.2514024, 6.2022904)"
1208,Confignon,ANTIGEL,2014-02-10,[FOREST SWORDS],,"(46.1740305, 6.0835592)"
1209,Grand Saconnex,ANTIGEL,2014-02-11,[CODY CHESNUTT],,"(46.2331904, 6.1231633)"
1210,Geneve,ANTIGEL,2014-02-12,[CONNAN MOCKASIN],,"(46.2043907, 6.1431577)"
1211,Geneve,ANTIGEL,2014-02-13,[JUNIP (JOSE GONZALEZ)],,"(46.2043907, 6.1431577)"
1212,Geneve,ANTIGEL,2014-02-14,[TRENTEMOLLER],,"(46.2043907, 6.1431577)"
1213,Geneve,ANTIGEL,2014-02-15,[TAMIKREST],,"(46.2043907, 6.1431577)"
1214,Geneve,ANTIGEL,2014-02-16,[THEE SILVER MT ZION MEMORIAL],,"(46.2043907, 6.1431577)"
1215,Neuchatel,OTHERJAZZ FESTIVAL,2014-02-19,[ANTEZ],,"(46.9899874, 6.9292732)"
1216,Le Locle,OTHERJAZZ FESTIVAL,2014-02-20,[LUCIEN DUBUIS],,"(47.0577195, 6.7487354)"
1217,La Chaux de Fond,OTHERJAZZ FESTIVAL,2014-02-21,[IKUE MORI],,"(47.1034892, 6.832783800000001)"
1218,Saignelegier,OTHERJAZZ FESTIVAL,2014-02-22,[POTAGE DU JOUR],,"(47.2561774, 6.996402199999999)"
1219,La Chaux de Fond,OTHERJAZZ FESTIVAL,2014-02-23,[MARTEAU ROUGE],,"(47.1034892, 6.832783800000001)"
1220,La Chaux de Fond,MURS DU SON A CAROUGE,2014-03-14,[STEFANO DI BATTISTA],,"(47.1034892, 6.832783800000001)"
1221,Fribourg,DUPLEX,2014-04-25,[GREG SHEPHERD],,"(46.8064773, 7.161971899999999)"
1222,Fribourg,DUPLEX,2014-04-26,[KIDKANEVIL],,"(46.8064773, 7.161971899999999)"
1223,Yverdon Les Bains,SWISS PSYCH FEST,2014-05-09,[THE OSCILLATION],,"(46.7784736, 6.641183)"
1224,Yverdon Les Bains,SWISS PSYCH FEST,2014-05-10,[THE TELESCOPES],,"(46.7784736, 6.641183)"
1225,Lausanne,BALEINEV,2014-05-23,[BAD NELSON],,"(46.5196535, 6.6322734)"
1226,Bulle,FRANCOMANIAS,2014-05-27,[LOUIS CHEDID],,"(46.6154512, 7.057726799999999)"
