,location,event,date,artists
315,Lausanne,FESTIVAL OUF,2008-09-11,"[JACQUES HOSTETTLER, SAMUEL HALL BAND, LEON FRANCIOLI, LAURENT WEBER]"
316,Lausanne,FESTIVAL OUF,2008-09-12,"[JACQUES HOSTETTLER, SAMUEL HALL BAND, LEON FRANCIOLI, YVES MASSY, GLENN FERRIS]"
317,Lausanne,FESTIVAL OUF,2008-09-13,"[JACQUES HOSTETTLER, MARC PERRENOUD, FRANCOIS TSCHUMY, FRANCOIS MASSY, FLAVIO BOLTRO]"
318,Lausanne,FESTIVAL OUF,2008-09-14,"[JACQUES HOSTETTLER, MARC PERRENOUD, FRANCOIS TSCHUMY, FRANCOIS MASSY, LEON FRANCIOLI]"
319,Delemont,NOTES D'EQUINOXE,2008-09-26,[POUM TCHACK]
320,Delemont,NOTES D'EQUINOXE,2008-09-27,"[SOU SI TAI, TENGIR TOO, COROU DE BERRA]"
321,Delemont,NOTES D'EQUINOXE,2008-09-28,"[SOU SI TAI, BANSKI STARCHETA, TENGIR TOO]"
322,Chambery,TRANSVOISINES,2008-10-03,[NICOLAS FRAISSINET]
323,Meythet,TRANSVOISINES,2008-10-09,[VINCENT GAFFET]
324,Lyon,TRANSVOISINES,2008-10-10,[KRUGER]
325,Vevey,ROCK N ORGE,2008-10-11,[REBEL FEST]
326,Bulle,TRANSVOISINES,2008-10-17,[DOCTOR FLAKE]
327,Geneve,JAZZCONTREBAND,2008-10-18,[TRE']
328,Geneve,JAZZCONTREBAND,2008-10-19,[HELENE LABARRIERE]
329,Divonne Les Bains,JAZZCONTREBAND,2008-10-23,[YARON HERMAN]
330,Yverdon Les Bains,TRANSVOISINES,2008-10-24,[LOLE]
331,Geneve,JAZZCONTREBAND,2008-10-25,[JEB BISHOP]
332,Divonne Les Bains,TRANSVOISINES,2008-10-31,[BURIDANE]
333,Lausanne,JAZZ ONZE +,2008-11-01,[MIGUEL ZENON]
334,Lausanne,METROPOP FESTIVAL,2008-11-06,"[THE INFADELS, DJ BABOUIN]"
335,Lausanne,METROPOP FESTIVAL,2008-11-07,"[LUCIOLE, MICKY GREEN, GENGHIS TRON, ERIC BORGO]"
336,Lausanne,METROPOP FESTIVAL,2008-11-08,"[JUNIOR TSHAKA, SEBASTIEN TELLIER, PSY4 DE LA RIME, GAY AGAINST YOU]"
337,Geneve,TAMBOUR BATTANT FESTIVAL,2008-11-28,[TIHAREA]
338,Geneve,TAMBOUR BATTANT FESTIVAL,2008-11-29,"[DOBET GNAHORE, AMAZONES DE GUINEE]"
339,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2008-12-06,[TRUST]
340,Duedingen,FR KATZ FESTIVAL,2008-12-11,[MIXHELL]
341,Duedingen,FR KATZ FESTIVAL,2008-12-12,[DIMENSION X]
342,Duedingen,FR KATZ FESTIVAL,2008-12-13,[DJ FETT]
343,Geneve,LES TRAVERSES MUSICALES,2009-02-26,[PEP'S]
344,Geneve,LES TRAVERSES MUSICALES,2009-02-27,[MANSIS]
345,Geneve,LES TRAVERSES MUSICALES,2009-02-28,[YELIN]
346,Sciez sur Leman,VIBRATIONS METISSAGES,2009-03-13,[MAXXO]
347,Sciez sur Leman,VIBRATIONS METISSAGES,2009-03-14,[THE BOX MANGLE]
348,Geneve,ELECTRON,2009-04-09,"[RICO TUBBS, 2 MANY DJ'S, SALLY DOHERTY]"
349,Geneve,ELECTRON,2009-04-10,"[AGORIA, DJ MEHDI, HELIOCENTRICS, MR SCRUFF]"
350,Geneve,ELECTRON,2009-04-11,"[DJ CHLOE, MODESELEKTOR, NATIS]"
351,Geneve,ELECTRON,2009-04-12,[PRINS THOMAS]
352,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-19,[VIKTORIA TOLSTOY]
353,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-20,[STACEY KENT]
354,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-21,[STEFAN RUSCONI]
355,Villeurbanne,ZIKEMO,2009-04-22,[NI SHYE]
356,Villeurbanne,ZIKEMO,2009-04-23,[SIDILARSEN]
357,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-24,"[DOMENIC LANDOLF, NAT SU]"
358,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-26,[ALY KEITA]
359,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-27,[ALDO ROMANO]
360,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-28,[INCOGNITO]
361,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-29,[NIK BARTSCH'S]
362,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-30,[ROSARIO GIULIANI]
363,Bale (Basel),JAZZFESTIVAL BASEL,2009-05-01,[PHILIP CATHERINE]
364,Bale (Basel),JAZZFESTIVAL BASEL,2009-05-02,[TAMBOURS DE BRAZZA]
365,Bale (Basel),JAZZFESTIVAL BASEL,2009-05-03,[GERARDO NUNEZ]
366,Vernier,VERNIER SUR ROCK,2009-05-08,[ZAM ZAM]
367,Vernier,VERNIER SUR ROCK,2009-05-09,[LAS AVES (ex THE DODOZ)]
368,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2009-05-10,[VICTOR PELLEGRINI]
369,Thonex,LES RENCONTRES MUSICALES A THONEX,2009-05-15,[N&SK (NOMADES ET SKAETERA)]
370,Thonex,LES RENCONTRES MUSICALES A THONEX,2009-05-16,[FUNNY BONES]
371,Pratteln,METALFEST,2009-05-21,[TEXTURES]
372,Pratteln,METALFEST,2009-05-22,[FIREWIND]
373,Pratteln,METALFEST,2009-05-23,[KEEP OF KALESSIN]
374,La Chaux du Milieu,CORBAK,2009-05-28,[ABD AL MALIK]
375,Montreux,MOTION OPENAIR,2009-05-29,[DAVID GUETTA]
376,Montreux,MOTION OPENAIR,2009-05-30,[MAX B GRANT]
377,Montreux,MOTION OPENAIR,2009-05-31,[MARTIN SOLVEIG]
378,Neuchatel,FESTI NEUCH,2009-06-04,"[LIMP BIZKIT, ZEBRA (Antoine)]"
379,Neuchatel,FESTI NEUCH,2009-06-05,"[KEZIAH JONES, ROUND TABLE KNIGHTS]"
380,Neuchatel,FESTI NEUCH,2009-06-06,[RAPHAEL]
381,Neuchatel,FESTI NEUCH,2009-06-07,[EMIR KUSTURICA & THE NO SMOKING ORCHESTRA]
382,Sierre,SISMICS FESTIVAL,2009-06-10,"[LA FANFARE EN PETARD, ZAI ON, GLEN OF GUINNESS]"
383,Geneve,VILLAGE TROPICAL,2009-06-14,[RUMBA STEREO]
384,Geneve,VILLAGE TROPICAL,2009-06-15,[RUMBA STEREO]
385,Geneve,VILLAGE TROPICAL,2009-06-16,[RUMBA STEREO]
386,Geneve,VILLAGE TROPICAL,2009-06-17,[RUMBA STEREO]
387,Geneve,VILLAGE TROPICAL,2009-06-18,[RUMBA STEREO]
388,Geneve,VILLAGE TROPICAL,2009-06-19,[RUMBA STEREO]
389,Geneve,VILLAGE TROPICAL,2009-06-20,[RUMBA STEREO]
390,Geneve,VILLAGE TROPICAL,2009-06-21,[YURI BUENAVENTURA]
391,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2009-06-26,[GILLES PETERSON]
392,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2009-06-27,[CHUCK LOVE]
393,Fribourg,BELLUARD BOLLWERK INTERNATIONAL,2009-06-30,[ANDRE DURACELL]
394,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-03,"[OSCAR D'LEON, UNDERWORLD]"
395,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-04,"[STEELY DAN, BLACK MILK]"
396,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-05,"[HERBIE HANCOCK, ALELA DIANE]"
397,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-06,"[BLACK EYED PEAS, ERIK LEWIS aka ELEW]"
398,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-07,"[LILY ALLEN, JAMIE CULLUM]"
399,Geneve,MUSIQUES EN ETE,2009-07-08,[GURU'S JAZZMATAZZ]
400,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-09,"[THE DEREK TRUCKS BAND, RAPHAEL SAADIQ]"
401,Geneve,MUSIQUES EN ETE,2009-07-10,[GONG LINNA]
402,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-11,"[NATURALLY 7, GRACE JONES]"
403,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-12,"[BB KING, DJ KRUSH]"
404,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-13,"[GEORGE BENSON, MARIANNE FAITHFULL]"
405,Geneve,MUSIQUES EN ETE,2009-07-14,[OPERA DE CHAMBRE DE GENEVE]
406,Geneve,MUSIQUES EN ETE,2009-07-15,"[OPERA DE CHAMBRE DE GENEVE, DAVID KRAKAUER]"
407,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-16,"[STATUS QUO, ALLEN TOUSSAINT]"
408,Geneve,MUSIQUES EN ETE,2009-07-17,"[OPERA DE CHAMBRE DE GENEVE, RODOLPHE BURGER]"
409,Geneve,MUSIQUES EN ETE,2009-07-18,[OPERA DE CHAMBRE DE GENEVE]
410,Zurich,LIVE AT SUNSET,2009-07-19,[KATIE MELUA]
411,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-07-20,[IVAN LINS]
412,Nyon,PALEO FESTIVAL,2009-07-21,[PLACEBO]
413,Nyon,PALEO FESTIVAL,2009-07-22,[THE PRODIGY]
414,Alterswil,STONE HILL,2009-07-23,[ZZZ...]
415,Alterswil,STONE HILL,2009-07-24,[OVERDRIVE AMP EXPLOSION]
416,Alterswil,STONE HILL,2009-07-25,[JOHN DOE]
417,Nyon,PALEO FESTIVAL,2009-07-26,[BENABAR]
418,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-07-27,[BOB MINTZER]
419,Geneve,MUSIQUES EN ETE,2009-07-28,[BELCEA QUARTET]
420,Geneve,MUSIQUES EN ETE,2009-07-29,[LALO ZANELLI]
421,Geneve,MUSIQUES EN ETE,2009-07-30,[NATHALIE STUTZMANN]
422,Geneve,MUSIQUES EN ETE,2009-07-31,[GETACHEW MEKURIA]
423,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-08-03,[RICHARD GALLIANO]
424,Geneve,MUSIQUES EN ETE,2009-08-04,[QUATUOR BORODINE]
425,Geneve,MUSIQUES EN ETE,2009-08-05,[AMELIE LES CRAYONS]
426,Porrentruy,ROCK AIR PORRENTRUY,2009-08-06,[PHIL HERISSON]
427,Porrentruy,ROCK AIR PORRENTRUY,2009-08-07,[MASS HYSTERIA]
428,Porrentruy,ROCK AIR PORRENTRUY,2009-08-08,[ROCOLA BACALAO]
429,Pregny,PREGNY ALP FESTIVAL,2009-08-09,[LES SUISS MELODIE]
430,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-08-10,[JERRY BERGONZI]
431,Geneve,MUSIQUES EN ETE,2009-08-11,[QUATUOR HUGO WOLF]
432,Geneve,MUSIQUES EN ETE,2009-08-12,[NOJAZZ]
433,Gampel,OPEN AIR DE GAMPEL,2009-08-13,[STOCKITOWN]
434,Gampel,OPEN AIR DE GAMPEL,2009-08-14,[DS PERSONAL]
435,Gampel,OPEN AIR DE GAMPEL,2009-08-15,[ASAF AVIDAN]
436,Gampel,OPEN AIR DE GAMPEL,2009-08-16,[MAD MANOUSH]
437,Geneve,MUSIQUES EN ETE,2009-08-18,[FAZIL SAY]
438,Geneve,MUSIQUES EN ETE,2009-08-19,[POWER FUNK FAMILY]
439,Pully,PULLY FOR NOISE,2009-08-20,[MORIARTY - WATI WATIA ZOREY BAND]
440,Pully,PULLY FOR NOISE,2009-08-21,[THE STREETS]
441,Pully,PULLY FOR NOISE,2009-08-22,[THE BLACK ANGELS]
442,Le Locle,ROCK ALTITUDE,2009-08-27,[MOONRAISERS]
443,Montreux,SEPTEMBRE MUSICAL,2009-08-28,[ORCHESTRE DE LA SUISSE ROMANDE]
444,Montreux,SEPTEMBRE MUSICAL,2009-08-29,[STAATSKAPELLE DRESDEN]
445,Montreux,SEPTEMBRE MUSICAL,2009-08-30,[ORCHESTRE DE CHAMBRE DE BALE]
446,Montreux,SEPTEMBRE MUSICAL,2009-08-31,[ORCHESTRE DE LA TONHALLE DE ZURICH]
447,Saint Maurice,SEPTEMBRE MUSICAL,2009-09-01,[GEORGES ATHANASIADES]
448,Montreux,SEPTEMBRE MUSICAL,2009-09-02,[IVO POGORELICH]
449,Vevey,SEPTEMBRE MUSICAL,2009-09-03,[ORCHESTRE DE CHAMBRE DE LAUSANNE (OCL)]
450,Vevey,SEPTEMBRE MUSICAL,2009-09-04,[CELLOTANGO]
451,Montreux,SEPTEMBRE MUSICAL,2009-09-05,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
452,Montreux,SEPTEMBRE MUSICAL,2009-09-06,[LEONIDAS KAVAKOS]
453,Geneve,FESTIVAL DE LA BATIE,2009-09-07,[PETER VON POEHL]
454,Geneve,FESTIVAL DE LA BATIE,2009-09-08,[KAP BAMBINO]
455,Geneve,FESTIVAL DE LA BATIE,2009-09-09,[NAIVE NEW BEATERS]
456,Geneve,FESTIVAL DE LA BATIE,2009-09-10,[SEBASTIEN SCHULLER]
457,Veytaux,SEPTEMBRE MUSICAL,2009-09-11,[QUATUOR NAVARRA]
458,Veytaux,SEPTEMBRE MUSICAL,2009-09-12,[MAYUKO KAMIO]
459,Zurich,CHANSONS EN STOK,2009-09-15,[PIERRE LAUTOMNE]
460,Zurich,CHANSONS EN STOK,2009-09-16,[DAVID LAFORE]
461,Zurich,CHANSONS EN STOK,2009-09-17,[KARIMOUCHE]
462,Vevey,SEPTEMBRE MUSICAL,2009-09-18,[DIMITRI & SA TROUPE]
463,Veytaux,SEPTEMBRE MUSICAL,2009-09-19,[LOUIS SCHWIZGEBEL WANG]
464,Montreux,SEPTEMBRE MUSICAL,2009-09-20,[BBC SYMPHONY ORCHESTRA]
465,Onex,JAZZCONTREBAND,2009-10-08,[MARC PERRENOUD]
466,Vevey,ROCK N ORGE,2009-10-09,[CLIMAX]
467,Vevey,ROCK N ORGE,2009-10-10,[ALBERT ET LES INTERMUTANTS]
468,Geneve,JAZZCONTREBAND,2009-10-12,[DAVID ROBIN]
469,Evian Les Bains,JAZZCONTREBAND,2009-10-13,[DAVID REINHARDT]
470,Geneve,JAZZCONTREBAND,2009-10-16,[MARCOS JIMENEZ]
471,Thonon Les Bains,JAZZCONTREBAND,2009-10-17,[ELIANE ELIAS]
472,Geneve,JAZZCONTREBAND,2009-10-18,[TRIO NON TEMPERE]
473,Carouge,JAZZCONTREBAND,2009-10-21,[JEREMY TORDJMAN]
474,Seynod,JAZZCONTREBAND,2009-10-22,[MARC PERRENOUD]
475,Thonon Les Bains,JAZZCONTREBAND,2009-10-23,[MOKHTAR SAMBA]
476,Yverdon Les Bains,JAZZCONTREBAND,2009-10-24,[N'RELAX]
477,Lausanne,JAZZ ONZE +,2009-10-28,[NO SQUARE]
478,Lausanne,JAZZ ONZE +,2009-10-29,[DON LI]
479,Lausanne,JAZZ ONZE +,2009-10-30,[JOE LOVANO]
480,Samoens,TRANSVOISINES,2009-10-31,[DJAZIA SATOUR]
481,Lausanne,JAZZ ONZE +,2009-11-01,[PIERRE FAVRE]
482,Yverdon Les Bains,TRANSVOISINES,2009-11-06,[TRIP IN]
483,Nyon,TRANSVOISINES,2009-11-07,[FAKE ODDITY]
484,Lausanne,METROPOP FESTIVAL,2009-11-12,[MICKEY 3D]
485,Meyrin,TRANSVOISINES,2009-11-13,[SCRATCH BANDITS CREW]
486,Reignier,TRANSVOISINES,2009-11-14,[SCRATCH BANDITS CREW]
487,Geneve,TAMBOUR BATTANT FESTIVAL,2009-11-27,"[DIDIER AWADI, KRISTO NUMPUBY]"
488,Geneve,TAMBOUR BATTANT FESTIVAL,2009-11-28,[LA MC MALCRIADO]
489,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2009-12-05,[LOUIS BERTIGNAC]
490,Geneve,LES TRAVERSES MUSICALES,2010-02-19,[PONY PONY RUN RUN]
491,Geneve,LES TRAVERSES MUSICALES,2010-02-20,[NAJAVIBES]
492,Pratteln,BLUES FESTIVAL BASEL (BALE),2010-03-23,[LITTLE CHEVY]
493,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2010-03-24,[MAGIC SLIM AND THE TEARDROPS]
494,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2010-03-25,[RITA CHIARELLI]
495,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2010-03-26,[ZORA YOUNG]
496,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2010-03-27,[CHARLIE MUSSELWHITE]
497,Geneve,ELECTRON,2010-04-01,"[MIXHELL, BRODINSKI]"
498,Lausanne,ELECTRON,2010-04-02,[KALABRESE AND THE RUMPELORCHESTRA]
499,Lausanne,ELECTRON,2010-04-03,[CHATON]
500,Geneve,ELECTRON,2010-04-04,[ABE DUQUE]
501,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-21,[RICHARD GALLIANO]
502,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-22,[GORAN BREGOVIC]
503,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-24,"[FUNK OFF, ANOUAR BRAHEM]"
504,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-25,"[THIERRY LANG, MICHAEL WOLLNY]"
505,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-26,[KURT ROSENWINKEL]
506,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-27,[MARCIN WASILEWSKI]
507,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-28,[VEIN]
508,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-29,[NILS PETTER MOLVAER]
509,Bale (Basel),JAZZFESTIVAL BASEL,2010-04-30,[MARC RIBOT]
510,Bale (Basel),JAZZFESTIVAL BASEL,2010-05-01,[RIGMOR GUSTAFSSON]
511,Bale (Basel),JAZZFESTIVAL BASEL,2010-05-02,"[MATHIEU MICHEL, PACO DE LUCIA]"
512,Vernier,VERNIER SUR ROCK,2010-05-07,[LA RUDA]
513,Vernier,VERNIER SUR ROCK,2010-05-08,[NAIVE NEW BEATERS]
514,Vernier,VERNIER SUR ROCK,2010-05-09,[FEFE (FENIKSI)]
515,Geneve,MAPPING FESTIVAL,2010-05-12,"[GANGPOL & MIT ""RADIO MINUS SOUND SYSTEM"", LUKE SLATER]"
516,Geneve,MAPPING FESTIVAL,2010-05-13,[GERBEM]
517,Geneve,MAPPING FESTIVAL,2010-05-14,[ZOL]
518,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2010-05-15,[HECTOR SALAZAR]
519,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2010-05-16,[VICTOR PELLEGRINI]
520,La Chaux du Milieu,CORBAK,2010-05-19,[BACK TO THE FUTURE]
521,Montreux,MOTION OPENAIR,2010-05-20,[DAVID GUETTA]
522,Geneve,MUSIQUES METISSES A GENEVE,2010-05-21,[MACIRE SYLLA]
523,Montreux,MOTION OPENAIR,2010-05-22,[ISAAC]
524,Montreux,MOTION OPENAIR,2010-05-23,[AXWELL]
525,Duedingen,BAD BONN KILBI,2010-05-26,[APHEX TWIN]
526,Duedingen,BAD BONN KILBI,2010-05-27,[HEALTH]
527,Duedingen,BAD BONN KILBI,2010-05-28,[HOT CHIP]
528,Duedingen,BAD BONN KILBI,2010-05-29,[YEASAYER]
529,Sierre,SISMICS FESTIVAL,2010-06-02,"[THE STRANGE ONES, FELOCHE]"
530,Sierre,SISMICS FESTIVAL,2010-06-03,[PROWPUSKOVIC]
531,Sierre,SISMICS FESTIVAL,2010-06-04,"[IN THE SPIRIT, GAZON ROUGE]"
532,Sierre,SISMICS FESTIVAL,2010-06-05,[ANGIL AND THE HIDDENTRACKS]
533,Neuchatel,FESTI NEUCH,2010-06-06,[YOUSSOU N'DOUR]
534,Pully,PULLY A L'HEURE DU QUEBEC,2010-06-07,[DANNY BOUDREAU]
535,Pully,PULLY A L'HEURE DU QUEBEC,2010-06-08,"[ARIANE MOFFATT, GAROU]"
536,Pully,PULLY A L'HEURE DU QUEBEC,2010-06-09,[CHLOE SAINTE MARIE]
537,Pully,PULLY A L'HEURE DU QUEBEC,2010-06-10,"[ANDREA LINDSAY, DUMAS]"
538,Pully,PULLY A L'HEURE DU QUEBEC,2010-06-11,[DANIEL LAVOIE]
539,Pully,PULLY A L'HEURE DU QUEBEC,2010-06-12,[ROBERT CHARLEBOIS]
540,Interlaken,GREENFIELD,2010-06-13,[DEATH BY STEREO]
541,Jonschwil,SONISPHERE SUISSE,2010-06-18,[METALLICA]
542,Cully,LAVAUX CLASSIQUE,2010-06-22,[GUY FRANCOIS LEUENBERGER]
543,Cully,LAVAUX CLASSIQUE,2010-06-23,[CEDRIC TIBERGHIEN]
544,Cully,LAVAUX CLASSIQUE,2010-06-24,[ROMAN TREKEL]
545,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2010-06-25,[THE BAMBOOS]
546,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2010-06-26,[MARIANA DA CRUZ]
547,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2010-06-27,[AKATARUS]
548,Geneve,MUSIQUES EN ETE,2010-06-28,[MICHEL LEGRAND]
549,Fribourg,BELLUARD BOLLWERK INTERNATIONAL,2010-06-30,"[TAREK ATOUI, DJ LYNDA REVOL]"
550,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-01,[PHIL COLLINS]
551,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-02,"[ROXY MUSIC, BEACH HOUSE]"
552,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-03,"[WILLY MASON, THE DEAD WEATHER]"
553,Geneve,MUSIQUES EN ETE,2010-07-04,[INTERNATIONAL MUSIC ACADEMY SWITZERLAND]
554,Geneve,MUSIQUES EN ETE,2010-07-05,[DANIEL HUMAIR]
555,Geneve,MUSIQUES EN ETE,2010-07-07,[FANFARE JO BITHUME]
556,Geneve,MUSIQUES EN ETE,2010-07-09,[JANNE ERSSON]
557,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-10,"[VANESSA PARADIS, LUCIANO (reggae)]"
558,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-11,"[KEITH JARRETT, GIL SCOTT HERON]"
559,Geneve,MUSIQUES EN ETE,2010-07-12,[AL FOSTER]
560,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-13,"[DIANA KRALL, BUDDY GUY]"
561,Geneve,MUSIQUES EN ETE,2010-07-14,[SHIBUSA SHIRAZU]
562,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-15,"[MARK KNOPFLER, SOLANGE LA FRANGE / LA PATRONNE]"
563,Geneve,MUSIQUES EN ETE,2010-07-16,[PAMBERI STEEL ORCHESTRA]
564,Montreux,MONTREUX JAZZ FESTIVAL,2010-07-17,"[KATIE MELUA, COCOROSIE]"
565,Zurich,LIVE AT SUNSET,2010-07-18,[ELEMENT OF CRIME]
566,Geneve,MUSIQUES EN ETE,2010-07-19,[PHIL WOODS]
567,Nyon,PALEO FESTIVAL,2010-07-20,[NTM]
568,Nyon,PALEO FESTIVAL,2010-07-21,[-M- (MATTHIEU CHEDID)]
569,Alterswil,STONE HILL,2010-07-22,[JOHN PARISH]
570,Alterswil,STONE HILL,2010-07-23,[JON HOPKINS]
571,Alterswil,STONE HILL,2010-07-24,[FILEWILE]
572,Nyon,PALEO FESTIVAL,2010-07-25,[INDOCHINE]
573,Geneve,MUSIQUES EN ETE,2010-07-26,[NIELS LANDOKY]
574,Geneve,MUSIQUES EN ETE,2010-07-27,[SCHUMANN QUARTETT]
575,Geneve,MUSIQUES EN ETE,2010-07-28,[BALOJI]
576,Geneve,MUSIQUES EN ETE,2010-07-29,[QUATUOR YSAYE]
577,Geneve,MUSIQUES EN ETE,2010-07-30,[BATAMBO]
578,Lucerne,BLUE BALLS,2010-07-31,[THE ROOTS]
579,Geneve,MUSIQUES EN ETE,2010-08-02,[RAOUL DESOUZA]
580,Geneve,MUSIQUES EN ETE,2010-08-03,[STEFAN VLADAR]
581,Geneve,MUSIQUES EN ETE,2010-08-04,[DJANGOLOGIE]
582,Porrentruy,ROCK AIR PORRENTRUY,2010-08-05,[PAMELA HUTE]
583,Porrentruy,ROCK AIR PORRENTRUY,2010-08-06,[KIEMSA]
584,Porrentruy,ROCK AIR PORRENTRUY,2010-08-07,[ALYSS]
585,Porrentruy,ROCK AIR PORRENTRUY,2010-08-08,[FRANCOIS CORBIER]
586,Geneve,MUSIQUES EN ETE,2010-08-10,[XAVIER DE MAISTRE]
587,Geneve,MUSIQUES EN ETE,2010-08-11,[PIERRE LAUTOMNE]
588,Le Locle,ROCK ALTITUDE,2010-08-12,[CHARLOU NADA]
589,Le Locle,ROCK ALTITUDE,2010-08-13,[GOJIRA]
590,Le Locle,ROCK ALTITUDE,2010-08-14,[K'S CHOICE]
591,Geneve,MUSIQUES EN ETE,2010-08-17,[PIOTR ANDERSZEWSKI]
592,Geneve,MUSIQUES EN ETE,2010-08-18,[TONY ALLEN]
593,Pully,PULLY FOR NOISE,2010-08-19,[LOCAL NATIVES]
594,Pully,PULLY FOR NOISE,2010-08-20,[THE NATIONAL]
595,Pully,PULLY FOR NOISE,2010-08-21,[EIGHTIES B-LINE MATCHBOX DISASTER]
596,Gampel,OPEN AIR DE GAMPEL,2010-08-22,[CHICA TORPEDO]
597,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2010-08-23,[ENSEMBLE INSTRUMENTAL DE L'OPERA DE LAUSANNE]
598,Geneve,MUSIQUES EN ETE,2010-08-24,[NELSON GOERNER]
599,Geneve,MUSIQUES EN ETE,2010-08-26,[HELEN KEARNS]
600,Montreux,SEPTEMBRE MUSICAL,2010-08-27,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
601,Montreux,SEPTEMBRE MUSICAL,2010-08-28,[GRIGORY SOKOLOV]
602,Montreux,SEPTEMBRE MUSICAL,2010-08-29,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
603,Montreux,SEPTEMBRE MUSICAL,2010-08-31,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
604,Montreux,SEPTEMBRE MUSICAL,2010-09-01,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
605,Montreux,SEPTEMBRE MUSICAL,2010-09-03,[ORCHESTRE DE CHAMBRE DE GENEVE]
606,Vevey,SEPTEMBRE MUSICAL,2010-09-04,[SACHA ROZHDESTVENSKY]
607,Montreux,SEPTEMBRE MUSICAL,2010-09-05,[ORCHESTRE NATIONAL DE FRANCE]
608,Geneve,FESTIVAL DE LA BATIE,2010-09-06,[ARNAUD FLEURENT DIDIER]
609,Veytaux,SEPTEMBRE MUSICAL,2010-09-07,[JINSANG LEE]
610,Vevey,SEPTEMBRE MUSICAL,2010-09-08,[CHERRY RHODES]
611,Vevey,SEPTEMBRE MUSICAL,2010-09-09,[PAUL BADURA SKODA]
612,Villars,VILLARS DE VIVRE,2010-09-10,[MICHEL JONASZ]
613,Villars,VILLARS DE VIVRE,2010-09-11,[OLIVIER KER OURIO]
614,Villars,VILLARS DE VIVRE,2010-09-12,"[HENRI DES, ENRICO PIERANUNZI, DIANE TELL]"
615,Geneve,FESTIVAL DE LA BATIE,2010-09-14,[HANS KOCH]
616,Geneve,FESTIVAL DE LA BATIE,2010-09-15,[BLONDE REDHEAD]
617,Geneve,FESTIVAL DE LA BATIE,2010-09-16,[SYD MATTERS]
618,Geneve,FESTIVAL DE LA BATIE,2010-09-17,"[SAYCET, DIMLITE]"
619,Geneve,FESTIVAL DE LA BATIE,2010-09-18,[KEMICAL KEM]
