,location,event,date,artists
95,Duedingen,FR KATZ FESTIVAL,2006-12-07,[ZU]
96,Duedingen,FR KATZ FESTIVAL,2006-12-08,[LE CLUB DES CHATS]
97,Duedingen,FR KATZ FESTIVAL,2006-12-09,[NORIKO TUJIKO]
98,Duedingen,FR KATZ FESTIVAL,2006-12-10,[JEFFREY LEWIS]
99,Habere Poche,VIBRATIONS METISSAGES,2007-02-23,[KAOLIN]
100,Habere Poche,VIBRATIONS METISSAGES,2007-02-24,[RIKE]
101,Montreux,MOTION OPENAIR,2007-04-05,[DAVID GUETTA]
102,Montreux,MOTION OPENAIR,2007-04-06,[NEOPHYTE]
103,Montreux,MOTION OPENAIR,2007-04-07,[BABY MARCELLO]
104,Montreux,MOTION OPENAIR,2007-04-08,[MARTIN SOLVEIG]
105,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-03,[RYUJI KUNIMATSU]
106,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-04,[GABRIEL GUILLEN]
107,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-05,[FRANCISCO GIL]
108,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2007-05-06,[DAVID RUSSELL]
109,Lausanne,BALEINEV,2007-05-11,[CLIMAX]
110,Interlaken,GREENFIELD,2007-05-16,[THIRTY SECONDS TO MARS]
111,Interlaken,GREENFIELD,2007-05-17,[MANIC STREET PREACHERS]
112,La Chaux du Milieu,CORBAK,2007-05-24,[BEL HUBERT]
113,La Chaux du Milieu,CORBAK,2007-05-25,[VIENNA ART ORCHESTRA]
114,La Chaux du Milieu,CORBAK,2007-05-26,[LES FILS DE TEUHPU]
115,Winterthur,AFRO - PFINGSTEN,2007-05-27,"[ATONGO ZIMBA, OMAR PENE]"
116,Winterthur,AFRO - PFINGSTEN,2007-05-28,[MANU DIBANGO]
117,Neuchatel,FESTI NEUCH,2007-06-01,[CASSIUS]
118,Neuchatel,FESTI NEUCH,2007-06-02,[DE LA SOUL]
119,Neuchatel,FESTI NEUCH,2007-06-03,[LES OGRES DE BARBACK]
120,Pully,FESTIVAL'ENTRE2,2007-06-06,[MICHEL BUHLER]
121,Sierre,SISMICS FESTIVAL,2007-06-07,[INNA CRISIS]
122,Sierre,SISMICS FESTIVAL,2007-06-08,[KID CHOCOLAT]
123,Sierre,SISMICS FESTIVAL,2007-06-09,[LOVE MOTEL]
124,Avully,GENA FESTIVAL,2007-06-16,"[STEVANS, LA CHANGO FAMILY]"
125,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2007-06-29,[BONOBO]
126,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2007-06-30,[ALEX ATTIAS]
127,Geneve,MUSIQUES EN ETE,2007-07-02,[THE THREE LADIES OF THE BLUES]
128,Geneve,MUSIQUES EN ETE,2007-07-04,[SIERRA LEONE'S REFUGEES ALLSTARS]
129,Geneve,MUSIQUES EN ETE,2007-07-06,[MARC ANDRE LEGER]
130,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-07,"[MOTORHEAD, THE GOOD, THE BAD AND THE QUEEN]"
131,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-08,"[PLACEBO, JOHN LEGEND]"
132,Geneve,MUSIQUES EN ETE,2007-07-09,[DAVE HOLLAND]
133,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-10,"[FAITHLESS, BEASTIE BOYS]"
134,Geneve,MUSIQUES EN ETE,2007-07-11,[BOJAN Z]
135,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-12,"[GEORGE BENSON, FAUVE]"
136,Geneve,MUSIQUES EN ETE,2007-07-13,[JOHN MAYALL]
137,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-14,"[OLODUM, POP LEVI]"
138,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-15,"[RICKIE LEE JONES, MARIA BETHANIA]"
139,Geneve,MUSIQUES EN ETE,2007-07-16,[KIRK LIGHTSEY]
140,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-17,"[NORAH JONES, ROGER HODGSON & HIS BAND]"
