,location,event,date,artists,genre
0,Luzern,Piano-Entertainment-Blue-Soul-&-Me,2013-09-11,['Mark Tenger '],
1,Luzern,Lucerne-Festival,2013-09-11,"['Florian Hoelscher ', ' Antonio Baldassarre ']",Classic
2,Zürich,Orgelkonzert,2013-09-11,"[' Jörg Ulrich Busch ', ' Hansjörg Albrecht ', ' Iveta Apkalna ']",Classic
3,Montreux,Orchestre-philharmonique-de-Saint-Pétersbourg,2013-09-11,[' Lisa Batiashvili '],Classic
4,Luzern,Lucerne-Festival,2013-09-11,[' Martin Grubinger '],Classic
5,Zürich,11.-Internationale-Orpheum-Musikfesttage,2013-09-11,"[' Chiara Enderle ', ' Arsha Kaviani ']",Classic
6,null,Eli-Keszler,2013-09-11,['Eli Keszler '],
7,Baden,To-Kill-A-King,2013-09-11,"['To Kill A King ', ' support: Three Blind Wolves ']",
8,Zürich,Roger-Waters,2013-09-11,['Roger Waters '],
9,Winterthur,Jazz-am-Mittwoch,2013-09-11,"[' Yves Theiler ', ' Tobias Meier ', ' David Meier ']",
10,Basel,The-Prisoners-of-Strange-European-Edition,2013-09-11,"[' Mbuso Khoza ', ' Adrian Mears ', ' Daniel Pezzotti ', ' Carlo Mombelli ', ' Dejan Terzic ']",
11,Baden,Pittini-Wiesendanger-Duo,2013-09-11,"[' Chris Wiesendanger ', ' Alessandro Pittini ']",
12,Zürich,Doomenfels,2013-09-11,"[' Dominic Oppliger ', ' Lukas Müller ', ' Dominik Huber ', ' Vincent Glanzmann ']",
13,Zürich,Renzo-Spotti-Trio,2013-09-11,"[' Renzo Spotti ', ' Tomi Hirt ', ' Dieter Ulrich ']",
14,Zürich,Jazzbaragge-Wednesday-Jam,2013-09-11,"[' Christoph Irniger ', ' Stefan Aeby ', ' Dave Gisler ', ' Raffaele Bossard ', ' Michi Stulz ']",
15,Zürich,Josh-Harty,2013-09-11,['Josh Harty '],
