,Unnamed: 0,location,event,date,artists,genre
1118,17,Thun,Booost,2013-03-02,"[' Armando ', ' Julien Zosso ', ' Daniel Hächler ', ' Thomas Chaillan ', ' Andreas Beer ', ' Mr. J.R. ', ' Marc Schödler ', ' Reggie ']",
1119,18,Basel,Olivier-Ker-Ourio-Quartet,2013-03-02,"[' Olivier Ker Ourio ', ' Emmanuel Bex ', ' Jérôme Barde ', ' Matthieu Chazarenc ']",
1120,19,Zürich,Jill-Barber,2013-03-02,"['Jill Barber ', ' Jill Barber ', ' Les Cooper ', ' Robert Grunwald ', ' Stephan Zsirai ']",
1121,20,Luzern,Joyful-Noise-29,2013-03-02,"[' Christoph Erb ', ' Achim Escher ', ' Hans Koch ', ' Urs Leimgruber ', ' Fredy Studer ']",
1122,21,Alti-Moschti,Mühlethurnen,2013-03-02,"[' Patrizia Martinelli ', ' Philipp Huber ', ' Benjamin Walser ', ' Patrick Kaufmann ', ' Reto Gloor ']",Infunkted
1123,22,Parterre-One,Basel,2013-03-02,[' The Bony King of Nowhere '],
1124,23,Treibhaus,Luzern,2013-03-02,['Spring Offensive '],Abu
1125,24,Rubigen,FM-Laeti,2013-03-02,['FM Laeti '],Pop
1126,25,Zürich,Luciano-&-The-UK-Messenjah-Band,2013-03-02,['Luciano & The UK Messenjah Band '],
1127,26,Lenzburg,10-Jahre-Apropo,2013-03-02,['Cool Sound Machine '],
1128,27,Kaserne,Basel,2013-03-02,['Lilly Wood & The Prick '],
1129,28,Winterthur,Jura-Dimitri,2013-03-02,['Jura Dimitri '],Electronic
1130,29,Zürich,Zugluft,2013-03-02,"[' Bruno Strüby ', ' Jonas Guggenheim ', ' Andrea Kirchhofer ']",
1131,30,Thun,Meursault,2013-03-02,['Meursault '],Pop
1132,31,Luzern,Katrin-Roush,2013-03-02,['Katrin Roush '],Pop
1133,32,Bern,Movie-Star-Junkies,2013-03-02,['Movie Star Junkies '],
1134,33,KiFF,Aarau,2013-03-02,[' Yes Sir Boss '],Traktorkestar
1135,34,Düdingen,Mono,2013-03-02,"['Mono ', ' Chris Brokaw ']",
1136,35,Reitschule-Dachstock,Bern,2013-03-02,['Puppetmastaz '],Puppetmastaz
1137,36,Zürich,Brockdorff-Klang-Labor,2013-03-02,['Brockdorff Klang Labor '],Electronic
1138,37,Bern,Those-Capones,2013-03-02,['Those Capones '],
1139,38,Hacienda-Sonic,null,2013-03-02,[' A State of Mind '],
1140,39,Basel,Mega-Full-Latino,2013-03-02,['Rodry-Go '],
1141,40,Sankt-Gallen,Die-Heiterkeit,2013-03-02,['Die Heiterkeit '],
1142,41,Bern,Lord-Bishop-Rocks,2013-03-02,"['Lord Bishop Rocks ', ' support: Restless 45 ']",
1143,42,Wetzikon,Secret-Story-3,2013-03-02,['DJs Sergio Loop '],
1144,43,Zürich,John-Lyons-Band,2013-03-02,"[' John Lyons ', ' Matthew Savnik ', ' Gabriel Spahni ', ' Simon Britschgi ']",
1145,44,Schaffhausen,Smoove-&-Turrell,2013-03-02,['Smoove & Turrell '],
1146,45,Lyss,Vengaboys,2013-03-02,['Vengaboys '],Pop
1147,0,Zürich,Krankensonntag,2013-03-03,"['Kurt Meier ', ' Felix Gubser ']",Classic
1148,1,Zürich,Purzel-Konzert-Die-Schnecke-und-der-Buckelwal,2013-03-03,"['Sandra Goldberg ', ' Frauke Tometten Molino ', ' Seon-Deok Baik ', ' Silvan Hürlimann ']",Classic
1149,2,Baden,Konzertmatinée,2013-03-03,['Da Sol '],Classic
1150,3,Rapperswil,Quintett-Ikarus,2013-03-03,"[' Stefanie Suhner ', ' Andreas Lareida ', ' Lucca Fries ', ' Moritz Meyer ', ' Ramón Oliveras ']",
1151,4,Brunnen,Randy-Thompson-Band,2013-03-03,"['Randy Thompson Band ', ' Randy Thompson ', ' Colin Thompson ', ' Kurt Kratch ', ' Dwayne Nitz ']",
1152,5,Bern,Klavierrezital,2013-03-03,['Silvia Harnisch '],Classic
1153,6,Dietikon,Musik-und-Wort-zur-Fastenzeit,2013-03-03,"['Réka Jaksics ', ' Bernhard Hörler ']",Classic
1154,7,Zürich,Und-plötzlich-war-ich-weg,2013-03-03,"['Vera Pritchina ', ' Jannik Till ']",Pop
1155,8,Winterthur,Strings-Meet-Sousa,2013-03-03,[' Manuel Beyeler '],Classic
1156,9,Zürich,Benefizkonzert-zum-Tag-der-Kranken,2013-03-03,"[' Dorothee Kurmann ', ' Markus Braun ']",Classic
1157,10,Dübendorf,Vesper-Wort-und-Musik,2013-03-03,"[' Martina Zimmerli ', ' Bernhard Isenring ']",Classic
1158,11,null,Renaissance-in-Europa,2013-03-03,"[' Beatrice Voellmy ', ' Alexander Seidel ', ' Neal Banerjee ', ' Heinz Meyer ', ' Elam Rotem ']",Classic
1159,12,Wädenswil,Von-Beethovens-Fantasie-zur-spanischen-Rhapsodie,2013-03-03,['Werner Bärtschi '],Classic
1160,13,Zürich,Don-&-Giovannis,2013-03-03,[' Andreas Winkler '],
1161,14,Zug,Luzia-von-Wyl-Ensemble,2013-03-03,"[' Luzia von Wyl ', ' Mokdad ', ' Nicola Katz ', ' Lukas Roos ', ' Simon Heggendorn ', ' Jonas Iten ', ' André Pousaz ', ' Raphael Christen ', ' Rico Baumann ']",
1162,15,Bern,Musikzyklus-Kammermusik-an-der-Kramgasse,2013-03-03,"['Jean-Luc Sperissen ', ' Juliana Georgieva ', ' Vincent Durand ', ' Nada Anderwert ']",Classic
1163,16,Hallenstadion,Zürich,2013-03-03,['Unheilig '],Unheilig
1164,17,Luzern,Eliane-Amherd-Quartet,2013-03-03,"[' Eliane Amherd ', ' Aismar Simon Carillo  ', ' Rodolfo Guerra  ', ' Ernesto Lopez Maturell  ']",
1165,18,Zürich,Trondheim-Jazz-Orchestra-feat.-Joshua-Redman,2013-03-03,"['Trondheim Jazz Orchestra feat. Joshua Redman ', ' Joshua Redman ', ' Eirik Hegdal ', ' Trine Knutsen ', ' Stig Forde Aarskog ', ' Eivind Lonning ', ' Erik Johannessen ']",
1166,19,Komplex-457,Zürich,2013-03-03,"['The Parov Stelar Band ', ' DJ Pat Poree ']",
1167,20,Luzern,Mono,2013-03-03,"['Mono ', ' support: Chris Brokaw ']",
1168,21,Zürich,Kammermusik-Soiree,2013-03-03,"[' Christian Tetzlaff ', ' Elisabeth Kufferath ', ' Hanna Weinmeister ', ' Tanja Tetzlaff ']",Classic
1169,22,Zürich,Swanky-Mothers-Series-VI,2013-03-03,"[' Jonas Labhart ', ' Dave Gisler ', ' Marius Peyer ']",
1170,23,Luzern,Dead-Ghosts,2013-03-03,['Dead Ghosts '],
1171,24,Winterthur,Cecilia-Ugarte,2013-03-03,"['Cecilia Ugarte ', ' Cecilia Ugarte ', ' David Lechmann ']",Pop
1172,25,Zürich,Quintett-Ikarus,2013-03-03,"[' Stefanie Suhner ', ' Andreas Lareida ', ' Lucca Fries ', ' Moritz Meyer ', ' Ramón Oliveras ']",
1173,26,null,Michael-Rose-&-The-I-Dwins-Band,2013-03-03,['Michael Rose & The I-Dwins Band '],
1174,27,null,Wenzel-&-Band,2013-03-03,"[' Hans-Eckhardt Wenzel ', ' Hannes Scheffler ', ' Thommy Krawallo ', ' Stefan Dohanetz ']",
1175,28,Stall-6,Zürich,2013-03-03,['The Sea & Cake '],Cake
1176,29,El-Lokal,Zürich,2013-03-03,['The Bony King of Nowhere '],
1177,30,Pratteln,At-Vance,2013-03-03,['At Vance '],
1178,31,Parterre-One,Basel,2013-03-03,['The Bony King of Nowhere '],
1179,32,Turnhalle-im-Progr,Bern,2013-03-03,"[' Pierre Favre ', ' Julian Sartorius ']",
1180,0,null,Benoit-Dettori,2013-03-04,['Benoit Dettori '],Pop
1181,1,Z7,Pratteln,2013-03-04,"['Helloween ', ' Gamma Ray ']",Helloween
1182,2,Luzern,Mösching-Djurovic-Moll,2013-03-04,"[' Samuel Mösching ', ' Danilo Djurovic ', ' Phillipp Moll ']",
1183,3,Zürich,Landis-Friedli,2013-03-04,"['Landis-Friedli ', ' Peter Landis ', ' Gabriela Friedli ']",
1184,4,Flawil,Marco-Marchi-&-the-Mojo-Workers,2013-03-04,"[' Marco Marchi ', ' Claudio Egli ', ' Fabio Bianchi ', ' Toby Stiftner ']",
1185,5,Baden,Olivier-Ker-Ourio-Quartet,2013-03-04,"[' Olivier Ker Ourio ', ' Emmanuel Bex ', ' Jérôme Barde ', ' Matthieu Chazarenc ']",
1186,6,Zürich,Dandylion,2013-03-04,['Dandylion '],
1187,7,Zürich,XL-Target-feat.-Mr.-DeFunkt-Joe-Bowie,2013-03-04,"[' Joseph Bowie ', ' Christy Doran ', ' KJ Dave Doran ', ' Dany Trutt ']",
1188,8,Theater-Tuchlaube,Aarau,2013-03-04,['The Bony King of Nowhere '],
1189,0,Luzern,Piano-Entertainment-Pure-Melodies,2013-03-05,['Oliver Töngi '],Pop
1190,1,Solothurn,Alestorm,2013-03-05,"['Alestorm ', ' Arkona ', ' Thyrfing ', ' Ex Deo ', ' Wolfchant ', ' Borholm ']",
1191,2,Zürich,Marianne-Racine-Quartet,2013-03-05,"[' Marianne Racine ', ' Daniel Baschnagel ', ' Patrick Sommer ', ' Pius Baschnagel ']",
1192,3,Zürich,Typisch-Rezital,2013-03-05,['Werner Bärtschi '],Classic
1193,4,Basel,Kammermusik-Basel,2013-03-05,['Emerson String Quartet '],Classic
1194,5,Aarau,Born-Of-Osiris,2013-03-05,"['Born Of Osiris ', ' After The Burial ', ' The Haarp Machine ', ' Monuments ']",
1195,6,null,Arbouretum,2013-03-05,['Arbouretum '],
1196,7,Zürich,Mates-of-Mine,2013-03-05,['Mates of Mine '],Pop
1197,8,Zürich,Jonathan-Kreisberg-Quartet,2013-03-05,"[' Jonathan Kreisberg ', ' Will Vinson ', ' Rick Rosato ', ' Colin Stranahan ']",
1198,9,Zürich,Amaral,2013-03-05,"['Amaral ', ' Eva Amaral ', ' Juan Aguirre ']",
1199,10,Volkshaus,Zürich,2013-03-05,['Julieta Venegas '],
1200,11,Zürich,Fuga-und-fantasia,2013-03-05,"['Eveleen Olsen ', ' Annette Kappeler ', ' Verena Zauner ', ' Emanuel Schmelzer ']",Classic
1201,12,Zürich,Quintett-Ikarus,2013-03-05,"[' Stefanie Suhner ', ' Andreas Lareida ', ' Lucca Fries ', ' Moritz Meyer ', ' Ramón Oliveras ']",
1202,13,Basel,Requiem,2013-03-05,"[' Aurea Marston ', ' Kim Bartlett ', ' Guido Friebel ', ' Peter Mächler ']",Classic
1203,14,Zürich,Sbdqtç,2013-03-05,"[' Antoine Läng ', ' Shane Perlowin ', ' Vincent Membrez ', ' Raphael Ortis ', ' Lionel Friedli ']",
1204,15,Zürich,Carmen-Souza-Kachupada,2013-03-05,"['Carmen Souza - Kachupada ', ' Carmen Souza ', ' Theo Pascal ', ' Filipe Melo ', ' Mauricio Zottarelli ']",
1205,16,Basel,Daniel-Schläppi-Duo,2013-03-05,"[' Marc Copland ', ' Daniel Schläppi ']",
1206,17,Baden,Michael-Zisman-Quartet,2013-03-05,"[' Michael Zisman ', ' Philip Henzi ', ' Lorenz Beyeler ', ' Tobias Friedli ']",
1207,18,Zürich,The-Lumineers,2013-03-05,"['The Lumineers ', ' Langhorne Slim ']",
1208,19,Basel,Salsaloca,2013-03-05,[' Rumbero '],
1209,20,Zürich,Girls-Names,2013-03-05,['Girls Names '],
1210,21,Rote-Fabrik,Zürich,2013-03-05,['Schnaak '],
1211,0,Basel,Herzlich-tut-mich-Verlangen,2013-03-06,['Marie-Odile Vigreux '],Classic
1212,1,Luzern,Piano-Entertainment-Blue-Soul-&-Me,2013-03-06,['Mark Tenger '],
1213,2,Zürich,Meisterinterpreten-in-Zürich,2013-03-06,[' Hélène Grimaud '],Classic
1214,3,Zug,Yield,2013-03-06,"[' Remo Winiger ', ' Patrick Fankhauser ', ' Timon Nielsen ', ' Beno Staub ']",
1215,4,Zentrum-Paul-Klee,Bern,2013-03-06,['Rebekka Bakken '],
1216,5,Winterthur,Dolce-Far-Niente,2013-03-06,"[' Sandra Veraldi ', ' Ueli Weber ']",Pop
1217,6,Volkshaus,Zürich,2013-03-06,['Khaled '],Khaled
1218,7,Kafi-für-Dich,Zürich,2013-03-06,"['Nathaniel Robin Mann ', ' The Great Park ']",
1219,8,Komplex-457,Zürich,2013-03-06,['Matisyahu '],Matisyahu
1220,9,Dübendorf,Redhouse-Gang,2013-03-06,"[' Heli Schnüriger ', ' Urs Heiniger ', ' Dino Leonardo Todisco ']",
1221,10,Hallenstadion,Zürich,2013-03-06,"['Kool & The Gang ', ' Earth Wind and Fire Experience feat. Al McKay ', ' Sister Sledge ', ' Chic ', ' Imagination ']",
1222,11,Frick,Katrin-Roush,2013-03-06,['Katrin Roush '],Pop
1223,12,Winterthur,Spiel-Trieb-East,2013-03-06,"[' Charlotte Weniger ', ' Stefan Wyler ', ' Martin Müller ']",
1224,13,Bern,Carmen-Souza,2013-03-06,"['Carmen Souza ', ' Carmen Souza ', "" Theo Pas'cal "", ' Mauricio Zottarelli ', ' Jonathan Idiagbonya ']",
1225,14,Zürich,Fidlar,2013-03-06,['Fidlar '],
1226,15,Zürich,Jazz-Baragge-Wednesday-Jam,2013-03-06,"['Benjamin Külling ', ' Toni Schiavano ', ' Flo Reichle ']",
1227,16,Basel,Daniel-Schläppi-Duo,2013-03-06,"[' Marc Copland ', ' Daniel Schläppi ']",
1228,17,null,Bury-Tomorrow,2013-03-06,['Bury Tomorrow '],
1229,18,Zürich,Pierre-Favre-Artist-in-Residence,2013-03-06,"[' Christian Weber ', ' Michel Wintsch ', ' Christian Wolfarth ', ' Pierre Favre ', ' Philipp Schaufelberger ', ' Dietmar Fuhr ']",
1230,19,Bern,Firehouse-Hot-7,2013-03-06,"['Werner Gisin ', ' Jerry Guanter ', ' Henry Bodmer ', ' Hans Bächtold ', ' Simon Inäbnit ', ' Ivo Maynard ', ' Hans Kilchenmann ']",
1231,20,Alte-Taverne,Adelboden,2013-03-06,['The Bony King of Nowhere '],
1232,21,Zürich,Rohchoscht,2013-03-06,"[' René Keller ', ' Oli Diethelm ', ' Stefan Liechti ', ' Daniel Gerber ', ' Bosco Blatter ']",
1233,22,null,La-colonie-de-vacances,2013-03-06,['La colonie de vacances '],
1234,0,Basel,Mittagskonzert,2013-03-07,[' Seul Ki Bae '],Classic
1235,1,Bern,Grenzgänge(r),2013-03-07,[' Anu Komsi '],Classic
1236,2,Alte-Kaserne,Zürich,2013-03-07,['11 AM '],
1237,3,Zürich,Thursday-Night-Jazz,2013-03-07,"[' Rebecca Spiteri ', ' Jürg Ramspeck ', ' Joel Reiff ', ' Rolf Lyssy ']",
1238,4,Dübendorf,In-vino-musica,2013-03-07,"[' Fabienne Leresche ', ' Patrick Leresche ']",Classic
1239,5,Uster,Eric-Martin-(MR.BIG)-Solo-Acoustic-Tour,2013-03-07,['Eric Martin '],
1240,6,Zürich,Christoph-Grabs-Ellingtonality,2013-03-07,"[' Grab ', ' Alessandro dEpiscopo ', ' Haemi Haemmerli ', ' Elmar Frey ']",
1241,7,Liebefeld,Zisman-Jacomella,2013-03-07,"[' Michael Zisman ', ' Annapaola Jacomella-Zisman ']",
1242,8,Zürich,State-Radio,2013-03-07,"['State Radio ', ' The Skints ']",
1243,9,Zürich,Guro-von-Germeten,2013-03-07,['Guro von Germeten '],Pop
1244,10,Basel,-bis-Von-Engeln-usw.,2013-03-07,[' Hans-Jürg Rickenbacher '],Classic
1245,11,null,Tränen-Quellen-Veil-of-Tears,2013-03-07,"[' Anne Schmid ', ' Pascale Van Coppenolle ']",Classic
1246,12,Luzern,Salonmusik,2013-03-07,"['Martin Schaefer ', ' Richard Decker ']",Classic
1247,13,Basel,Studierendenkonzert,2013-03-07,"[' Simone Aeberhard ', ' Mojca Gal ', ' Bruno Hurtado Gosalvez ', ' Jean-Christophe Dijoux ']",Classic
1248,14,Frauenfeld,Waidele-&-Friends,2013-03-07,"[' Jürgen Waidele ', ' Alexander Friedrich ', ' Arno Haas ']",
1249,15,Aarau,Martin-Dahanukar-Quartet,2013-03-07,"[' Martin Dahanukar ', ' Vinz Vonlanthen ', ' Sam Joss ', ' Peter Horisberger ']",
1250,16,Basel,Thomas-Moeckels-Centrio,2013-03-07,"[' Thomas Moeckel ', ' Dominik Schürmann ', ' Stephan Felber ']",
1251,17,Schüür,Luzern,2013-03-07,['Kosheen '],Kosheen
1252,18,Zürich,Daniel-Schläppi-with-Marc-Copland,2013-03-07,"['Daniel Schläppi with Marc Copland ', ' Daniel Schläppi ', ' Marc Copland ']",
1253,19,Zürich,Flava-Sauce,2013-03-07,"[' Valentin Bächi ', ' Manu Rindlisbacher ', ' Tobias Hunziker ']",
1254,20,Zürich,Urban-Kicks-&-Inner-Landscapes,2013-03-07,"[' Omri Ziegele ', ' Isa Wiss ', ' Jürg Wickihalder ', ' Nick Gutersohn ', ' Gabriela Friedli ', ' Yves Reichmuth ', ' Jan Schlegel ', ' Herbert Kramis ', ' Marco Käppeli ', ' Dieter Ulrich ']",
1255,21,Winterthur,Journeys,2013-03-07,"[' Angelo Signore ', ' Willy Kotoun ', ' Philippe Mall ', ' Robert Mark ', ' Luciano Maranta ', ' Dennis Roshard ']",
1256,22,Altes-Spital,Solothurn,2013-03-07,['The Bony King of Nowhere '],
1257,23,Aarau,De-Staat,2013-03-07,['De Staat '],
1258,24,Solothurn,Expire,2013-03-07,['Expire '],
1259,25,Luzern,Jam-Session,2013-03-07,['Richard Decker '],
1260,26,Zürich,Meursault,2013-03-07,['Meursault '],
1261,27,Zürich,The-Rossi-Jam,2013-03-07,"['Gabriel Spahni ', ' Simon Britschgi ', ' Matthew Savnik ']",Pop
1262,0,Winterthur,Midi-Musical-Musik-über-Mittag,2013-03-08,"[' Cäcilia Chmel ', ' Anikó Illényi ', ' Moritz Huemer ', ' Françoise Schiltknecht ']",Classic
1263,1,Cry-d'Er,Crans-Montana,2013-03-08,[' Poni Hoax '],
1264,2,Luzern,Piano-Entertainment-Pure-Melodies,2013-03-08,['Oliver Töngi '],Pop
1265,3,Basel,Orgelspiel-zum-Feierabend,2013-03-08,['Nadja Becchetta '],Classic
1266,4,Worblaufen,Charlie-Morris-Blues-Band,2013-03-08,['Charlie Morris Blues Band '],
1267,5,Bern,Grenzgänge(r),2013-03-08,[' Anu Komsi '],Classic
1268,6,Zug,Vandercash,2013-03-08,['Vandercash '],
1269,7,Basel,AMG-Solistenabend,2013-03-08,[' Angelika Kirchschlager '],Classic
1270,8,Winterthur,Tränen-Quellen-Veil-of-Tears,2013-03-08,"[' Anne Schmid ', ' Pascale Van Coppenolle ']",Classic
1271,9,Zürich,Un-soir-a-la-cour,2013-03-08,"['Alexander Seidel ', ' Jonathan Rubin ']",Classic
1272,10,Basel,Sagenhaft!-Traditionelle-Sagen-und-zeitgenössische-Musik,2013-03-08,"['Mit Sylvia Diethelm-Seeger ', ' Marc Bätscher ']",Classic
1273,11,Centre-de-Congrès-le-Régent,Crans-Montana,2013-03-08,"['Peter Doherty ', ' Lou Doillon ', ' M ']",
1274,12,Luzern,Exumer,2013-03-08,"['Exumer ', ' support: Vendetta ', ' Scanner ']",
1275,13,Winterthur,Konzertreihe-Kulturkoller,2013-03-08,"[' Melinda Stocker ', ' Andrea Sutter ', ' Sebastian Tortosa ']",Classic
1276,14,Arlesheim,Lukas-Passion,2013-03-08,"[' Vera Ehrensperger ', ' Dieter Wagner ', ' Michael Jäger ']",Classic
1277,15,null,The-Real-Group,2013-03-08,['The Real Group '],Pop
1278,16,Winterthur,Mute-Swimmer,2013-03-08,['Mute Swimmer '],Pop
1279,17,null,Weltklassik,2013-03-08,[' Francois Leleux '],Classic
1280,18,Zürich,Brenda-Mc-Morrow,2013-03-08,['Brenda Mc Morrow '],Pop
1281,19,null,The-Real-Group,2013-03-08,['The Real Group '],Pop
1282,20,Zürich,Gheorghe-Zamfir-Der-König-der-Panflöte,2013-03-08,"['Gheorghe Zamfir ', ' Christiane Gugger ']",Classic
1283,21,Stäfa,Orgelzyklus,2013-03-08,['Michael Pelz '],Classic
1284,22,Basel,Blues-Now-John-Németh-Band,2013-03-08,['John Németh Band '],
1285,23,Schaffhausen,Murmur,2013-03-08,"[' Tobias Meier ', ' Dave Gisler ', ' Martin Birnstiel ', ' Markus Lauterburg ']",
1286,24,Kultur-Cinema,Arbon,2013-03-08,"[' Roberto Bosshard ', ' Andreas Zitz ', ' Pius Baschnagel ', ' Christian Münchinger ']",
1287,25,Zürich,China-Moses,2013-03-08,"['China Moses ', ' China Moses ', ' Raphael Lemonnier ', ' Fabien Marcoz ', ' Jean Pierre Derouard ']",
1288,26,Salzhaus-Brugg,null,2013-03-08,['Krystle Warren '],
1289,27,Baden,Los-Acuña,2013-03-08,"['Los Acuña ', ' Carlos Acuña ', ' Cesar Acuña ', ' Carlos Caniza ', ' Robertoi Gruber ']",
1290,28,Zürich,Make-Do-And-Mend,2013-03-08,['Make Do And Mend '],
1291,29,Uster,Kaspar-Ewalds-Exorbitantes-Kabinett,2013-03-08,"[' Andrea Formenti ', ' Beat Hofstetter ', ' Beat Kappeler ', ' Bernhard Bamert ', ' Daniel Woodtli ', ' Gregor Hilbe ']",
1292,30,Lugano,Concerti-Dell'auditorio-2013,2013-03-08,['Cédric Pescia '],Classic
1293,31,Basel,Bert-Joris-Quartet,2013-03-08,"[' Bert Joris ', ' Dado Moroni ', ' Philippe Aerts ', ' Dré Pallemaerts ']",
1294,32,Liebefeld,Schläppi-Copland,2013-03-08,"[' Daniel Schläppi ', ' Marc Copland ']",
1295,33,Mühlethurnen,Dean-Wilson-and-the-Chilli-Poppers,2013-03-08,"[' Dean Wilson ', ' Will James ', ' Eddy Jones ', ' Jack Spencer ']",
1296,34,Bierhübeli,Bern,2013-03-08,['Kosheen '],Kosheen
1297,35,LUZ-Seebistro,Luzern,2013-03-08,['Lindsay Ferguson '],
1298,36,Basel,3-Jahre-Irie-Shottaz,2013-03-08,[' Phantom Ranks '],
1299,37,Les-Docks,Lausanne,2013-03-08,['Yo La Tengo '],
1300,38,Moonwalker-Music-Club,Aarburg,2013-03-08,['Rudy Rotta '],
1301,39,Zürich,Elmar-Frey-Sextett,2013-03-08,"[' Elmar Frey ', ' Daniel Schenker ', ' Christoph Grab ', ' Stefan Schlegel ', ' Alessandro dEpiscopo ', ' Daniel Fricker ']",
1302,40,Kraftfeld,Winterthur,2013-03-08,['De Staat '],
1303,41,Bern,Strongt,2013-03-08,"['Strongt ', ' Peter Tièche ', ' Stephan Muendlein ', ' Kurt Leiser ', ' Beat Ernst ', ' Stefu Kurzo ']",
1304,42,Hasliberg-Hohfluh,Owen-Temple,2013-03-08,['Owen Temple '],Pop
1305,43,Schaffhausen,Micha-Sportelli-Micha-Sportelli-und-Band,2013-03-08,['Micha Sportelli Micha Sportelli und Band '],Pop
1306,44,Luzern,Morning-Transfer,2013-03-08,['Morning Transfer '],
1307,45,Luzern,The-Jazz-Legends,2013-03-08,"['Joan Faulkner ', ' Csik Gustav ']",
1308,46,null,Rhythm-Revolution,2013-03-08,['Tylene '],Electronic
1309,47,Zug,Gerda-Blank,2013-03-08,['Gerda Blank '],
1310,48,Aarau,Illbilly-Hitec-feat.-Longfingah,2013-03-08,['Illbilly Hitec feat. Longfingah '],
1311,49,Zürich,Les-Spadassins,2013-03-08,['Les Spadassins '],
1312,0,Winterthur,Goloubev-Simcock,2013-03-09,"[' Yuri Goloubev ', ' Gwilym Simcock ']",
1313,1,Aarau,Jazz-Passengers,2013-03-09,"[' Jörg Hauser ', ' Sabine Siegrist ', ' Rougi Rothenbühler ', ' Peter Tico Keller ', ' Hannes Hänggli ']",
1314,2,Zürich,Classic-Broadway-&-Operette,2013-03-09,"['John Thade ', ' Annkatrin Isaacs ']",Classic
1315,3,Luzern,Piano-Entertainment-Blue-Soul-&-Me,2013-03-09,['Mark Tenger '],
1316,4,Zürich,Camerata-Variabile-Basel,2013-03-09,"[' Hans-Jürg Rickenbacher ', ' Isabelle Schnöller ', ' Karin Dornbusch ', ' Helena Winkelman ']",Classic
1317,5,Arlesheim,Tränen-Quellen-Veil-of-Tears,2013-03-09,"[' Anne Schmid ', ' Pascale Van Coppenolle ']",Classic
1318,6,Arlesheim,Benefizkonzert,2013-03-09,"[' Anne Schmid ', ' Pascale Van Coppenolle ']",Classic
1319,7,Centre-de-Congrès-le-Régent,Crans-Montana,2013-03-09,"['Tom Staar ', ' Nas ', ' Cody Chesnutt ']",
1320,8,Thun,Sinfoniekonzert,2013-03-09,['Alexandre Dubach '],Classic
1321,9,Zürich,Ska-P,2013-03-09,['Ska-P '],
1322,10,Zürich,Vocis-imago-Vorstellung-&-Wirklichkeit,2013-03-09,"[' C.Simolka ', ' B.Bossert ', ' I.Kombaratov ', ' M.Würsch ', ' H.Bugallo ', ' E.Streiff ', ' M.Stolz ', ' R.Wohlhauser ']",Classic
1323,11,Basel,Debussy-im-Spiegel,2013-03-09,"['Felix Renggli ', ' Jürg Dähler ', ' Daniel Haefliger ', ' Sarah OBrien ']",Classic
1324,12,Zürich,Counterparts,2013-03-09,"['Counterparts ', ' Landscape ']",
1325,13,Basel,Französische-Barockmusik,2013-03-09,"[' Keiko Kinoshita ', ' Ryosuke Sakamoto ', ' Sonoka Ogawa ']",Classic
1326,14,Wettingen,Requiem-Trauermusik,2013-03-09,"[' Ruth Achermann ', ' Liliane Glanzmann ', ' Tino Brütsch ', ' Michael Raschle ']",Classic
1327,15,Riehen,Lukas-Passion,2013-03-09,"[' Vera Ehrensperger ', ' Dieter Wagner ', ' Michael Jäger ']",Classic
1328,16,Zürich,Exchange,2013-03-09,"[' Markus Weiss ', ' Jonathan Ayerst ', ' Pedro Amaral ']",Classic
1329,17,Aarau,Sinfoniekonzert,2013-03-09,[' Nils Kohler '],Classic
1330,18,Winterthur,Marco-Santilli-Rossi-&-Band,2013-03-09,"[' Marco Santilli Rossi ', ' Sandro Vetsch ', ' Oliver Weinberg ', ' Lorenzo Wilson ', ' Robert Mark ']",
1331,19,Bern,Oli-Kehrli,2013-03-09,['Oli Kehrli '],Pop
1332,20,Zürich,The-Avett-Brothers,2013-03-09,"['The Avett Brothers ', ' Seth Avett ', ' Scott Avett ', ' Bob Crawford ', ' Joe Kwon ', ' Jacob Edwards ']",
1333,21,Oberengstringen,Landis-Friedli,2013-03-09,"[' Peter Landis ', ' Gabriela Friedli ', ' Nick Gutersohn ', ' Herbert Kramis ']",
1334,22,Luzern,Mondrian-Ensemble:-presentimientos,2013-03-09,"[' Daniela Müller ', ' Petra Ackermann ', ' Martin Jaggi ', ' Tamriko Kordzaia ']",Classic
1335,23,Zürich,Inade,2013-03-09,['Inade '],Electronic
1336,24,Bern,Chorus-America,2013-03-09,[' Franziska Hegi '],Classic
1337,25,Rapperswil,Gwilym-Simcock-&-Yuri-Goloubev,2013-03-09,"['Gwilym Simcock & Yuri Goloubev ', ' Gwilym Simcock ', ' Yuri Goloubev ']",
1338,26,Basel,Bert-Joris-Quartet,2013-03-09,"[' Bert Joris ', ' Dado Moroni ', ' Philippe Aerts ', ' Dré Pallemaerts ']",
1339,27,Rote-Fabrik,Zürich,2013-03-09,['Tocotronic '],Tocotronic
1340,28,Feuerthalen,Rudy-Rotta-Band,2013-03-09,['Rudy Rotta Band '],
1341,29,KiFF,Aarau,2013-03-09,"['Threshold ', ' Enocian Theory ', ' Cryptex ']",Threshold
1342,30,Winterthur,Grindweh,2013-03-09,"['Jig-Ai ', ' Sublime Cadaveric Decomposition ', ' Ultimo Mondo Cannibale ']",
1343,31,Prima-Vista,Baden,2013-03-09,"[' Peter C. Beyeler ', ' Shilo Buck ', ' Werner Gisin ', ' Heinz Glauser ', ' Heinz Lehmann ', ' Walter Daetwyler ']",
