,Unnamed: 0,location,event,date,artists,genre
50,7,Zürich,The-Busters,2013-01-06,"['The Busters ', ' Ron Marsman ', ' Rob Solomon ', ' Mathias Demmer ', ' Hardy Appich ', ' Stephan Keller ', ' Markus Schramhauser ', ' Rolf Breyer ']",
51,8,Luzern,Chicago-Swing-Rats,2013-01-06,"[' Hansruedi Gattiker ', ' Charlie Schumacher ', ' Bruce Roberts ', ' Hans Krauer ', ' Urs Rellstab ', ' Ernst Grädel ', ' René Grimm ']",
52,9,Zürich,Orgel-und-Flöte,2013-01-06,"['Klaus-Peter Riemer ', ' Torsten Laux ']",Classic
53,10,Esse-Musicbar,Winterthur,2013-01-06,"[' Mat Callahan ', ' Yvonne Moore ']",
54,11,Basel,Hommage-à-Strawinski,2013-01-06,"['Catriona Bühler ', ' Hieronymus Schädler ', ' Markus Hochuli ', ' Priska Zaugg ']",Classic
55,12,Zürich,Swanky-Mothers-Series-IV,2013-01-06,"[' Jonas Labhart ', ' Dave Gisler ', ' Marius Peyer ']",
56,13,El-Lokal,Zürich,2013-01-06,['Maria Doyle Kennedy & Kieran Kennedy '],
57,0,Flawil,Jürgen-Waidele-&-Friends-feat.-Elysa-Kay,2013-01-07,"['Jürgen Waidele & Friends feat. Elysa Kay ', ' Elysa Kay ', ' Arno Haas ', ' Rainer Apel ', ' Peter Keller ', ' Alex Friedrich ']",
58,0,Basel,Mittagskonzert,2013-01-08,"[' Gudrun Petruschka ', ' Alice Borciani ', ' Claire Pigagnol ', ' Leonardo Bortolotto ']",Classic
59,1,Lebewohlfabrik,Zürich,2013-01-08,"[' Dave Ruosch ', ' Christoph Grab ']",
60,2,Zürich,Organ-Meets-Jazz,2013-01-08,"['Jürg Lietha ', ' Peter Schneider ']",Classic
61,3,Zürich,La-folia,2013-01-08,"[' Cornelia Arn ', ' Res Hafner ', ' Roli Kneubühler ', ' Andreas Zingre ']",
62,4,Zürich,Eichenberger-Studer,2013-01-08,"[' Markus Eichenberger ', 'Daniel Studer ']",
63,5,Basel,Eva-Kesselring-feat.-Domenic-Landolf,2013-01-08,"[' Domenic Landolf ', ' Rita Ékes ', ' Michael Beck ', ' Eva Kesselring ', ' Dominic Egli ']",
64,6,Reussbühl,Pistolero-Pepe-&-Black-Shirt-Samurais,2013-01-08,"[' Harry Lenherr ', ' Danny Reichlin ', ' Pistolero Pepe ']",
65,7,Wengen,Klavierrezital,2013-01-08,['Silvia Harnisch '],Classic
66,8,Zürich,Martin-Dahanukar,2013-01-08,"['Martin Dahanukar ', ' Martin Dahanukar ', ' Vinz Vonlanthen ', ' Samuel Joss ', ' Peter Horisberger ']",
67,0,Winterthur,Winterträume,2013-01-09,[' Jürg Dähler '],Classic
68,1,Luzern,Jam-Night,2013-01-09,"['Aurel Hassler ', ' Christian Winiker ', ' Mani Zweili ', ' Mike Malloth ']",
69,2,Winterthur,Winterträume,2013-01-09,[' Jürg Dähler '],Classic
70,3,Zürich,Konzert,2013-01-09,[' Emanuel Ax '],Classic
71,4,Basel,AMG-Sinfoniekonzert-Klassik,2013-01-09,[' Nelson Goerner '],Classic
72,5,Zug,Herbies-Explo-3000,2013-01-09,"[' Adi Pflugshaupt ', ' Hans Feigenwinter ', ' Herbie Kopf ', ' Pius Baschnagel ']",
73,6,Winterthur,Das-goldene-Tor-frei-nach-Srkjabin,2013-01-09,"['Christian Rösli ', ' Georg Hofmann ', ' Hermann Bühler ']",
74,7,Zürich,Doran-Känzig-Hemingway,2013-01-09,"['Doran-Känzig-Hemingway ', ' Christy Doran ', ' Heiri Känzig ', ' Gerry Hemingway ']",
75,8,Basel,Eva-Kesselring-feat.-Domenic-Landolf,2013-01-09,"[' Domenic Landolf ', ' Rita Ékes ', ' Michael Beck ', ' Eva Kesselring ', ' Dominic Egli ']",
76,9,Basel,Monthly,2013-01-09,"[' Markus Schmied ', ' Yosvany Quintero ', ' Carlo Menger ', ' Michael Anklin ']",
77,0,Zürich,Liederabend,2013-01-10,"['Angelika Kirchschlager ', ' Helmut Deutsch ']",Classic
78,1,Zürich,Easy-Listening-Music-Quartet,2013-01-10,"[' Rebecca Spiteri ', ' Jürg Ramspeck ', ' Joel Reiff ', ' Rolf Lyssy ']",
79,2,Luzern,Brillante-Neujahrs-Konzertgala,2013-01-10,['Roland Raphael '],Classic
80,3,Aarau,Shakuhachi-Flöten-und-Elektronik,2013-01-10,"[' Jürg Zurmühle ', ' Stefan Keller ']",
81,4,Zürich,Orgel-und-Klavier,2013-01-10,"['Conrad Zwicky ', ' Stefan Zwicky ']",Classic
82,5,Zürich,Konzert,2013-01-10,[' Emanuel Ax '],Classic
83,6,null,5.-Tonhallekonzert,2013-01-10,['Hans Christoph Begemann '],Classic
84,7,Bern,Nachtgedanken,2013-01-10,"[' Christoph Prégardien ', ' Olivier Darbellay ']",Classic
85,8,Zürich,Beethoven-im-Kaffeehaus,2013-01-10,"[' Mathias Weibel ', ' Monika Baer ', ' Susanna Hefti ', ' Renate Steinmann ']",Classic
86,9,Zürich,Big-Freedia-&-The-Divas,2013-01-10,['Big Freedia & The Divas '],
87,10,Basel,S.O.S.-Seele-oder-Selbst,2013-01-10,"[' Antje Thierbach ', ' Karin Dornbusch ', ' Helena Winkelman ', ' Christoph Dangel ']",Classic
88,11,Kloten,Rainbow-Colors,2013-01-10,"[' Simon Wirsch ', ' Beat Baumli ', ' Richard Pechota ', ' Peter Preibisch ']",
89,12,Esse-Musicbar,Winterthur,2013-01-10,"[' Michael Arbenz ', ' Thomas Lähns ', ' Florian Arbenz ']",Vein
90,13,Theater-am-Gleis,Winterthur,2013-01-10,"[' Ingrid Lukas ', ' Céline-Giulia Voser ', ' Michel Gsell ', ' Patrik Zosso ']",
