,location,event,date,artists,genre
0,Basel,Solo-de-concours,2013-05-08,"['Filipa Nunes ', ' Giovanni Fornasini ']",Classic
1,Basel,Masterrezital,2013-05-08,[' Sara Silva '],Classic
2,Zürich,Vorabend-Auffahrt,2013-05-08,"['Kurt Meier ', ' Felix Gubser ']",Classic
3,Luzern,Blue-Soul-&-Me,2013-05-08,['Mark Tenger '],
4,Zug,Mísia,2013-05-08,['Mísia '],
5,Aarau,Kreise-ziehen,2013-05-08,"['Noëmi Sohn ', ' Liliane Glanzmann ', ' Valentin Johannes Gloor ', ' Samuel Zünd ', ' Rahel Sohn Achermann ']",Classic
6,Bern,Internationales-Jazzfestival-Bern,2013-05-08,"['Roy Haynes Fountain of Youth Band ', ' Roy Haynes ', ' Jaleel Shaw ', ' Martin Bejerano ', ' David Wong ']",
7,Luzern,Jam-Night,2013-05-08,"['Christian Winiker ', ' Adi Wiss ', ' Mani Zweili ', ' Mike Malloth ']",
8,Zürich,Avishai-Cohen-with-Strings,2013-05-08,['Avishai Cohen with Strings '],
9,null,Laquartett,2013-05-08,"[' Philipp Labhart ', ' Urs Baumgartner ', ' Lukas Meier ', ' Sandro Heule ', ' Sky189 ', ' Samwhaa ']",
10,Luzern,La-Minor,2013-05-08,['La Minor '],Pop
11,Bülach,Programme-diabolique,2013-05-08,['Stefan Wirth '],Classic
12,Zürich,The-Kilkennys,2013-05-08,"['The Kilkennys ', ' Adam Cashin ', ' David Cashin ', ' Tommy Mackey ', ' Robbie Campion ']",
13,Winterthur,Jochen-Aldingers-Downbeatclub,2013-05-08,"[' Jochen Aldinger ', ' Konni Behrendt ', ' Macht ']",
14,Chiasso,Piano-Recital,2013-05-08,['Yuja Wang '],Classic
15,Zürich,Suuns,2013-05-08,['Suuns '],
16,Basel,Friedli-Pousaz-Dühsler,2013-05-08,"[' Oliver Friedli ', ' André Pousaz ', ' Samuel Dühsler ']",
17,Lausanne,Dope-D.O.D,2013-05-08,['Dope D.O.D '],
18,Zürich,Oneonetwo,2013-05-08,"['Simone Keller ', ' Martin Lorenz ']",Classic
19,Winterthur,Gunning-For-Tamar,2013-05-08,['Gunning For Tamar '],
20,Bern,Sormeh,2013-05-08,"['Sormeh ', ' Golnar Shahyar ', ' Mona Matbou Riahi ', ' Jelena Popran ']",
21,Basel,Xxyyxx,2013-05-08,[' Beat Culture '],Electronic
22,null,We-Three,2013-05-08,"[' Dave Liebman ', ' Steve Swallow ', ' Adam Nussbaum ']",
23,Vevey,Esben-and-The-Witch,2013-05-08,['Esben and The Witch '],
24,Reitschule-Dachstock,Bern,2013-05-08,['Pablopolar '],Pablopolar
25,Winterthur,Cutz-'n'-Dögz,2013-05-08,['Faz '],
26,Baden,Seite-an-Saite,2013-05-08,"[' Moreno Donadio ', ' Toni Donadio ']",
27,Zürich,Future-Sound-Festival,2013-05-08,"['Major Lazer ', ' Diplo ', ' Flosstradamus ', ' Dillon Francis ', ' Zeds Dead ', ' Dumme Jungs ', ' Felix Cartal ', ' Haezer ']",Electronic
28,Bern,Internationales-Jazzfestival-Bern,2013-05-08,"['Roy Haynes Fountain of Youth Band ', ' Roy Haynes ', ' Jaleel Shaw ', ' Martin Bejerano ', ' David Wong ']",
29,null,Freak-Show,2013-05-08,"['Rummelsnuff ', ' I Apologize ', ' Emmaunele 5 ']",Electronic
30,Zürich,Orientpearl,2013-05-08,['DJs Burak Yeter '],
