,location,event,date,artists,genre
0,Basel,AMG-Sonntagsmatinée,2016-04-10,[' Anastasia Voltchok '],Classic
1,Zürich,Sunday-Music-Brunch,2016-04-10,['Rubalcaba & Luis Frank '],
2,Bern,Los-ä-Bossa,2016-04-10,"['Anita Samuel ', ' Alfons Wild ']",
3,Zürich,Tirili,2016-04-10,"['Christoph Zimmerli ', ' Ai Furuya ']",Classic
4,Bern,Philipp-Moll-feat.-Sibylle-Pousaz,2016-04-10,"[' Sibylle Pousaz ', ' Stewy von Wattenwyl ', ' Kevin Chesham ']",
5,Bern,Ferdinand-der-Stier,2016-04-10,"['Regula Hunger ', ' Ingrid Schmanke ', ' Christian Holenstein-Mende ', ' Peter Hauser ']",Classic
6,Zürich,Zeitfestival-Momo,2016-04-10,"['Sophia Rieth ', ' Jonas Ehrler ', ' Fabian Löbhard ', ' works by Dennis Bäsecke-Beltrametti ']",Classic
7,Cully,Tiganá-Santana,2016-04-10,"['Tiganá Santana ', ' Tiganá Santana ', ' Inor Sotolongo ']",
8,Basel,Orgel-und-Kammermusik,2016-04-10,"['Beatrice Voellmy ', ' Isabelle Schnöller ', ' Michael Lang ', ' Susanne Jenne-Linde ']",Classic
9,Basel,Verwandlungen,2016-04-10,[' Miriam Prandi '],Classic
10,Basel,Das-Musikereignis-Eine-Pianistin-von-Weltruhm,2016-04-10,['Miao Huang '],Classic
11,null,Nduduzo-Makhathini,2016-04-10,['Nduduzo Makhathini '],
12,Dübendorf,Dübendorfer-Abendmusiken,2016-04-10,['Prof. Jaroslav Tuma '],Classic
13,null,Mozart-Requiem,2016-04-10,"[' Maria C. Schmid ', ' Amanda Schweri ', ' Tino Brütsch ', ' Marc-Olivier Oetterli ']",Classic
14,Schaffhausen,Tiefe-Himmel-Weite-Welt,2016-04-10,"[' Barblina Meierhans ', ' Christian Hieronymi ', ' Christian Sturzenegger ', ' works by Andreas Stahel ']",Classic
15,Cully,Cully-Jazz,2016-04-10,"['Dianne Reeves ', ' Dianne Reeves ', ' Peter Martin ', ' Romero Lubambo ']",
16,Zürich,Frühlings-Abendmusik,2016-04-10,[' Pi-Chin Chien '],Classic
17,Basel,Peter-Mieg-Eine-Basler-Hommage,2016-04-10,[' Jean-Jacques Dünki '],Classic
18,Zürich,Blues-Caravan-feat.-Layla-Zoe-Tasha-Taylor-Ina-Forsman,2016-04-10,"[' Layla Zoe ', ' Tasha Taylor ', ' Ina Forsman ', ' Davide Floreno ', ' Walter Latupeirissa ', ' Markku Reinikainen ']",
19,Zollikon,Orchesterkonzert,2016-04-10,[' Töbi Tobler '],Classic
20,Luzern,Jazz-am-Sonntigmorge,2016-04-10,"[' Cécile Verny ', ' Andreas Erchinger ', ' Bernd Heitzler ', ' Lars Binder ']",
21,Zürich,La-dame-blanche,2016-04-10,['La dame blanche '],
22,null,Kendji-Girac,2016-04-10,['Kendji Girac '],Pop
23,Zürich,Hollywood-Undead,2016-04-10,"['Hollywood Undead ', ' Attila ']",
24,Cully,Cully-Jazz,2016-04-10,['Chassol - Big Sun '],
25,Winterthur,Moonshiner,2016-04-10,"[' Nadine Koller ', ' Tobias Hügin ', ' Samuel Heller ']",
26,null,Metamorphosen-Streichorchester-Berlin,2016-04-10,[' Norbert Anger '],Classic
27,Basel,Patrick-Wolf,2016-04-10,['Patrick Wolf '],
28,Luzern,The-Tiger-Lillies,2016-04-10,['The Tiger Lillies '],
29,Luzern,Kadavar,2016-04-10,['Kadavar '],
30,Lugano,Elements,2016-04-10,"[' Ludovico Einaudi ', ' Federico Mecozzi ', ' Alberto Fabris ']",Classic
